Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
AFGHANISTAN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ALBANIA;45;39;32;79;86;72;91;80;87;103;128;151;182;206;227;246;267;273;314;337.2;401;457;577.8;691.6;783.9;269.8;764.7
ALGERIA;346;370;343;NULL;369;382;403;456;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AMERICAN SAMOA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;18.8;20.1;19.6;19.3;19.3;17.6;16.6;16.4;15.8;16.4;17.4;NULL;NULL;NULL
ANDORRA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ANGOLA;9;20;44;51;43;48;58;61;83;144;153;120;172;294;366;425;481;528;650;595;592;397;261;218;218;64;64
ANGUILLA;29;28;33;29;29;28;32;30;28;24;32;33;35;27;17;17;18;15;15;14;13;13.1;13.1;13.4;16.7;5.2;7.8
ANTIGUA AND BARBUDA;191;202;211;204;208;207;193;198;224;246;245;254;262;266;234;230;241;247;243;249;250;265;247.3;269;301;125.1;169.4
ARGENTINA;NULL;NULL;NULL;NULL;NULL;1192;998;928;1227;1666;2069;2279;2566;2586;2220;2865.4;2884.8;2763.9;2530;2609;2425.9;2390;2567;2760;3065.2;694.3;211.1
ARMENIA;11;12;20;29;36;39;107;135;173;196;225;270;344;371;382;460;503;564;618;701;693.1;740.3;765.6;806;980;198.8;648.7
ARUBA;619;641;650;647;683;721;691;643;642;728;733;694;772;827;813;824;869;904;979;1072;1225;1102;1070.5;1082;1118.9;368.3;806.6
AUSTRALIA;3712;4149;4305;4146;4427;4904;4832;4819;4730;5201;5486;5514;5619;5558;5464;5772;5760;6017;6385.5;6864.5;7387.2;8209.1;8743.1;9167.3;9387.4;1788.6;246
AUSTRIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AZERBAIJAN;NULL;195;286;466;564;658;739;173;217;276;276;281;297;572;624;646;795;946;993.5;1089.2;968.9;1164.9;1151.5;1183.8;1285.2;219.4;380.2
BAHAMAS;1317;1368;1368;1305;1439;1481;1428;1403;1429;1450;1514.5;1492;1487;1393;1252;1295;1268;1357;1281;1343;1391;1392;1335.6;1558.1;1662.4;418.3;886.6
BAHRAIN;NULL;505;552;606;656;720;791;920;974;1176;1301;1544;1642;1855;1941;2280;1521;1628;1615;1705.5;1048;1069;1196.6;1150.5;1220.6;299;393.3
BANGLADESH;131;136;148;139;134;151;158;151;187;218;140;151;227;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
