Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
AFGHANISTAN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ALBANIA;176;170;68;72;133;166;160;279;351;404;490;645;782;1024;1414;1955;2474;3061;2760;3137.5;3519;4003;4146.8;4795.9;5153.8;2323.9;4718.1
ALGERIA;63;63;184;NULL;184;283;295;210;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AMERICAN SAMOA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ANDORRA;NULL;NULL;NULL;NULL;9422;10991;11351;11507;11601;11668;11049;10737;10743;10194;9112;8551;7983;7900;7676;7797;7850;8025;8152;8328;8235;5207;5422
ANGOLA;NULL;1;1;NULL;2;2;8;27;21;46;52;1;4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ANGUILLA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ANTIGUA AND BARBUDA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARGENTINA;NULL;NULL;NULL;NULL;NULL;1328;1322;1617;1430;1517;1436;1503;1543;1622;1630;2902.9;2806;2759.7;2932.8;3559.1;3386.8;3259.4;3111.8;3145;3239.1;1037.2;58
ARMENIA;1;1;3;3;5;6;17;27;33;66;93;111;167;187;193;223;255;399;466;503;499;519.4;729.2;845.8;914;176.4;221.70000000000002
ARUBA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AUSTRALIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
