Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
AFGHANISTAN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ALBANIA;304;287;119;184;371;317;354;470;557;645;748;937;1127;1420;1856;2417;2932;3514;3256;3673;4131;4736;5118;5927;6406;2658;5689
ALGERIA;520;605;635;678;749;866;901;988;1166;1234;1443;1638;1743;1772;1912;2070;2395;2634;2733;2301;1710;2039;2451;2657;2371;591;125
AMERICAN SAMOA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;40.3;41.3;50.2;49.3;51.6;47.1;38.3;42.3;51.8;58.6;NULL;NULL
ANDORRA;NULL;NULL;NULL;NULL;9422;10991;11351;11507;11601;11668;11049;10737;10743;10194;9112;8551;7983;7900;7676;7797;7850;8025;8152;8328;8235;5207;5422
ANGOLA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ANGUILLA;107;86;114;114;107;112;105;111;109;121;143;167;164;128;112;118;124;129;151;177;186;176;151;87;166;41.1;28.7
ANTIGUA AND BARBUDA;447;498;526;570;560;634;624;528;623;769;712;838;935;863;944;788;848;819;777;771;894;874;1040;1064;1035;276;250
ARGENTINA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;9986;9964;10394;11131;3096;460
ARMENIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARUBA;912;957;947;906;972;1211;1178;1225;1184;1304;1286;1285;1254;1383;1420;1394;1469;1481;1667;1739;1832;1758;1863;1897;1951;368;807
AUSTRALIA;3726;4165;4318;4167;4459;4931;4856;4841;4746;5215;5499;5532;5644;5586;5490;5790;5771;6032;6482;6922;7449;8269;8815;9246;9466;1828;246
AUSTRIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AZERBAIJAN;93;210;306;483;602;681;767;834;1038;1279;1177;1194;1333;1899;1830;1963;2239;2484;2509;2298;2006;2249;2697;2850;3170;796;792
BAHAMAS;3239;3416;3446;3348;3648;4204;4183;4406;4594;5004;4779;4731;4601;4394;4645;5255;5588;5940;6151;6320;6112;6265;6136;6622;7250;1794.5;2101
