Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
AFGHANISTAN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ALBANIA;NULL;NULL;NULL;NULL;0.2;0.2;0.1;0.1;0.2;0.2;0.2;0.2;0.3;0.3;0.2;3;0.5;1;1;1;3;1.1;2.1;3.5;24.2;1.6;3.1
ALGERIA;43;35;34;37;51;56;63;72;112;131;161;160;158;194;258;311;554;635;591;541.6;659;900.6;1176.6;1428.7;1478.4;409.9;13.7
AMERICAN SAMOA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ANDORRA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ANGOLA;2;5;14;7;8;8;15;17;31;42;43;19;33;37;46;73;148;173;223;105.5;176;52.7;40.7;34.7;31.3;8.1;11.7
ANGUILLA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ANTIGUA AND BARBUDA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.5;0.5;0.5;0.6;0.6;0.1;0.4
ARGENTINA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;12.4;14;16.1;15.1;3;0.3
ARMENIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;1;0.7;1;0.9;1;0.4;0.7;1.6;1.1;0.2;0.5
ARUBA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AUSTRALIA;43;53;58;72;72;79;73;68;70;68;71;78;85;93;81.7;86.6;89.1;82.4;81.1;84.3;84.7;87;89.6;95.1;94.9;18.2;1.8
AUSTRIA;22;22;23;33;33;36;36;26;27;32;42;43;40;40;39;45;52;58;61;63;72.4;77.8;77.3;82.2;80.4;20.6;16.6
AZERBAIJAN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;1;2;2;2;2;2.4;2.7;2.5;2.3;4.2;7.1;8.9;10.5;1.8;2.3
BAHAMAS;NULL;NULL;NULL;NULL;NULL;2;1;1;1.6;1.6;1.7;2;2.2;2;2;1.9;2;2.4;2.3;2.6;2.7;2.7;3;2.9;3.4;1;2
BAHRAIN;10;12;18;22;26;32;39;47;60;76;82;99;109;NULL;NULL;NULL;100;114;124;132.5;NULL;NULL;NULL;14.4;7.7;1.6;4.9
BANGLADESH;1;1;1;2;2;2;2;1;2;2;2;2;2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BARBADOS;NULL;NULL;NULL;NULL;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1.3;1.5;2;1.7;1.7;1.7;1.3;0.6;0.5
BELARUS;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.7;1.9;3.2;2.3;2.3;2.3;4.2;4.2;2.5;NULL
BELGIUM;56;63;63;61;57;64;64;60;63;61;62;65;62;63;63;61;62;61;64;66.4;65.3;64.2;69.6;74.6;75.2;26.1;29.8
