Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
AFGHANISTAN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ALBANIA;NULL;NULL;NULL;NULL;11;14;14;16;19;26;35;42;52;61;60;62;70;74;73.3;90;96.8;103.8;123.7;148.8;156.7;30;115.8
ALGERIA;2;2;2;2;3;3;3;5;5;7;8;10;10;11;13;10;12;12;9.6;10.3;10;12.2;13.1;20.8;16.1;3.3;2
AMERICAN SAMOA;NULL;NULL;NULL;7;15;8;7.3;NULL;NULL;NULL;6.9;7.2;NULL;7.638;7.876;8;7.1;6.9;5.4;4.8;4.7;4.6;4.9;4.5;NULL;NULL;NULL
ANDORRA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ANGOLA;1;2;3;8;6;8;9;15;15;34;36;21;38;59;76;83;58;68;74;83.6;105.1;61.7;33.6;37.8;32.7;9.9;8.8
ANGUILLA;35;34;37;33;33;33;39;37;39;45;52;62;64;57;49;53;57;55.3;60;61;63.1;67.4;57.1;45.8;80.8;21.2;25.2
ANTIGUA AND BARBUDA;124;128;138;134;115;107;107;108;122;129;128;139;141;152;138.5;138.5;146.6;154.3;152;155;151;165.9;153.2;176.3;197.8;84.8;115.3
ARGENTINA;1988;2252;2378;2595;2491;2480;2157;2420;2425;2722;2984;3283;3609;3710;3392;5540.3;5461.5;5318.2;5386.6;6016.6;5655.6;5446.8;5512.5;5692.1;6043.8;1659.9;218.1
ARMENIA;2;1;3;5;6;8;41;46;58;75;86;98;127;135;135;136;145;128.9;147;156.9;89.4;90.4;102.4;101.6;76;9.4;34.5
ARUBA;565;582;588;595;629;670;643;595;585;665;666;630;703;749;735;746;785;820;898;987.6;1133;1001.7;970.2;983;1020.4;337.5;741.4
AUSTRALIA;382;401;420;474;528;621;577;556;537;561;584;611;629;644;671;661;645;682.8;750.8;806;869.5;994.1;1095.8;1139.1;1173.3;282.5;21.9
AUSTRIA;673;707;719;828;767;934;788;647;599;674;692;780;756;673;617;708;743;806;860;919;1020.1;1012.8;1084.9;1157.9;1209.2;171;172.9
AZERBAIJAN;NULL;NULL;5;3;2;NULL;NULL;6;8;12;11;10;11;17;15;16;16;18.8;20.8;19.9;18.4;18.5;22.3;26.7;29.3;4.3;6.3
BAHAMAS;1433;1445;1413;1333;1381;1407;1418;1406;1390;1457.5;1516.9;1508.6;1428.3;1350.5;1234.5;1275.6;1252.9;1325.5;1268.9;1328.2;1374;1370.2;1313.4;1486.1;1664.4;409.6;867.2
BAHRAIN;79;77;86;97;102;121;139;177;192;200;190;234;267;NULL;NULL;NULL;291;326;335;345.3;62;55;48.8;50.9;61;33.4;15.1
BANGLADESH;13;14;15;16;12;15;19;18;31;37;19;25;46;NULL;NULL;7.1;6.8;6.7;5;6;4.1;5.2;6.8;8.6;8.8;25.5;52.1
BARBADOS;238;239;245;255;264;278;256;275;292;301;311;312;303;309;292;313;337;318;291.6;280.8;327.5;364.8;393.7;409;319.4;110.1;70.7
BELARUS;5.4;8;9.2;10;2.5;3;5;3;4;6;5;4;6;1.4;1;1;1;11.4;11.4;11.4;12;12.8;18.7;35.6;35.2;9.5;NULL
BELGIUM;373;389;411;420;434;449;428;400;369;382;390;407;421;399;375;429;489;505;517;566.4;602.5;493.4;621.3;703.9;742.3;113.9;113.6
BELIZE;314;323;276;116;122;150;150;154;175;185;190;199;202;196;188;196;203;227;240.3;257.4;272.4;314.4;349.8;402.6;412.6;120.9;206.3
BENIN;5;NULL;NULL;NULL;2;4.7;0.6;1.3;0.5;0.4;0.5;1;2.3;3.9;5.1;3.2;3.1;4.6;8;9;10.4;9.6;11.5;12;12.1;12.4;NULL
BERMUDA;349;351;339;324;311;287;241;244;222;236;233;255;257;217;198;196;202;199;198.8;188.6;182.1;206.6;225.7;241.9;234.7;33.9;62
BHUTAN;1;1.1;1;1.6;2.3;3;2.4;2.2;2;3.6;5.2;5.6;6.7;8.2;5.7;6.5;8.1;7.9;9.1;9.8;9.4;9.4;12.3;14.11;15.1;1.4;NULL
BOLIVIA, PLURINATIONAL STATE OF;171;187;230;269;242;220;215;217;210;285;314;357;404;407;421;506;500;580;584.1;633.2;641.9;715.2;848.1;869.2;972.9;265.7;145.9
BONAIRE;39;42;40;40;41;33;34;34;33;34;32;35;42;43;36;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BOSNIA AND HERZEGOVINA;NULL;NULL;10;10;8;10;8;8;7;8;8;10;10;9;8;10;10;12;18.5;22;29.2;32.6;42.3;46.8;55.5;5.7;17.6
BOTSWANA;7;8;9;11;12;27;25;19;18;21;NULL;25;33;38;32;33;NULL;40.4;149.9;59.6;45.5;50.7;58.5;71.1;NULL;6.7;NULL
BRAZIL;1374;1830;1999;3449;3643;3803;3132;2206;2397;2703;2998;2717;2779;2884;2862;3196;3402;3582;3726;4041;4208.5;4487.8;4767.6;4786.2;4391.6;1610.3;495.8
BRITISH VIRGIN ISLANDS;194;213;210;220;238;235;259;250;227;258;285;305;307;296;280.6;299.4;300.5;315.7;321.4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BRUNEI DARUSSALAM;NULL;NULL;NULL;10;9;9;6;NULL;NULL;NULL;3;4;5;6;5;6;7;6.3;7.6;6.1;5.9;5.4;6.5;6.4;6.7;1.3;0.148
