Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
AFGHANISTAN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ALBANIA;NULL;NULL;NULL;NULL;22;4;5;11;1;4;3;28;2;6;252;100;103;202;189.7;123.2;233.8;103.3;244.7;364.5;345.8;1.6;330.9
ALGERIA;422;511;540;571;608;690;705;737;861;865;1002;1159;1232;1215;1256;1415;1493;1652;1768.6;1361.2;627;716.7;742.4;638.4;437.3;81.3;58
AMERICAN SAMOA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.2;0.1;NULL;0.1;NULL;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;NULL;NULL;NULL
ANDORRA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;36;45;33;66.5;77.8;81.3;83;83.6;39.2;46.8
ANGOLA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ANGUILLA;1;1;1;1;2;1;1;1;1;2;2;2;3;2;2;1;1;2.2;2;2;2.2;2.9;2.7;2.5;3.9;1.1;1.1
ANTIGUA AND BARBUDA;4;4;4;4;6;9;8;8;4;3;9;8;6;4;2.3;2.4;1.3;1.3;1.3;1;NULL;NULL;0.2;0.1;0.2;0.4;0.1
ARGENTINA;52;63;66;73;71;75;92;77;115;188;208;228;215;224;194;261.1;272;267.3;257.9;257.6;264.2;1.3;1.7;1.6;1.6;0.1;0.2
ARMENIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARUBA;2;3;4;3;4;4;3;3;2;2;3;2;1;4;3;2;3;4;4;4.1;11.2;13.4;9.5;9;5;2.6;11.4
AUSTRALIA;3;4;1;2;4;13;14;3;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AUSTRIA;233;228;262;265;233;240;241;293;378;363;288;259;297;374;296;287;239;276;265;300;306.9;340.5;327.5;313.1;347.1;165.5;149
AZERBAIJAN;NULL;NULL;12;7;35;79;173;NULL;NULL;1;NULL;1;1;2;2;2;1;2;1.9;1.8;1.6;8.1;7.3;8.5;6.6;0.5;2.3
BAHAMAS;30;34;74;77;70;14;13;17;2.2;0.6;0.4;0.3;0.3;0.3;0.3;0.4;0.7;0.6;0.6;0.9;1.2;0.9;2.6;1.9;2.1;3;0.1
BAHRAIN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;7;6;14.7;NULL;NULL;NULL;NULL
BANGLADESH;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;20.1;20.4;20.3;12.2;14.6;8.6;12.7;17.1;18.9;19;26.8;25.1
BARBADOS;6;5;5;4;NULL;NULL;NULL;NULL;NULL;NULL;1;4;3;2;2;1;1;2;2.4;2.8;1.5;1.3;0.6;2.1;1.3;1.9;3.1
BELARUS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;1;105;95.4;82.5;67.4;60.9;63.7;88.6;88.5;19.1;NULL
BELGIUM;37;18;34;31;31;54;54;57;67;97;106;128;134;161;116;52;27;30.5;49;45.4;33.8;74.4;163.4;177.4;201.4;57.6;101.7
BELIZE;NULL;NULL;NULL;34;33;14;13;12;8;8;8;8;9;9;8;8.8;10;12;11.5;13.9;15.2;14.9;13.5;10.5;13.9;2.7;1.6
BENIN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;12.8;57;21.4;18.7;19;27;26.5;22;40.4;32.1;38.6;47.4;58;NULL
BERMUDA;8;8;8;8;7;8;7;9;8;9;10;11;12;11;8;7;6;6;7.8;6.6;7.3;7.6;9.9;9.4;0.5;0.1;0.6
BHUTAN;0.1;0.1;0.1;NULL;0.2;0.2;0.1;NULL;0.1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BOLIVIA, PLURINATIONAL STATE OF;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;9;9;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BONAIRE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BOSNIA AND HERZEGOVINA;NULL;NULL;3;4;5;5;3;4;4;3;3;3;5;6;6;9;16;29;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BOTSWANA;14;25;33;61;56;80;80;86;83;76;NULL;75;52;14;30;25.4;NULL;15.5;5.8;4.3;1;3.2;0.7;4.3;NULL;2.5;NULL
BRAZIL;9;14;11;31;31;22;20;9;5;4;3;1;2;1;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BRITISH VIRGIN ISLANDS;4;7;12;28;16;3;3;3;NULL;11;12;9;8;8;1;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
