Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
AFGHANISTAN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ALBANIA;NULL;NULL;NULL;NULL;1;2;2;3;4;4;5;8;10;15;28;11;17;20;23.6;31;33;35.9;53.5;68.1;68.1;5;8
ALGERIA;2;1;1;3;4;5;5;9;8;9;15;19;27;39;47;42;55;55;46.2;49.8;75;57.5;63.2;84.7;67.6;11.8;10.2
AMERICAN SAMOA;NULL;NULL;NULL;28;26;35;28.1;NULL;NULL;NULL;16.9;17.6;NULL;16.148;15.165;14.6;15;15.2;14.9;16.3;15.1;14.9;14.5;15.1;NULL;NULL;NULL
ANDORRA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ANGOLA;NULL;1;1;2;2;3;4;5;5;16;15;15;28;59;66;81;88;94;106;65.8;98.1;50.7;40.1;29.2;27.5;3.2;6.6
ANGUILLA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ANTIGUA AND BARBUDA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.3;1.4;1.5;2;2;2.1;2.2;2.3;2.8;1;0.6
ARGENTINA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;209;210.7;226.8;231.5;67.9;2.7
ARMENIA;NULL;NULL;1;1;1;1;3;3;6;9;14;16;23;24;25;26;29;29.8;31;27.9;10.2;19.3;38.6;50.1;63.9;8.6;6.3
ARUBA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AUSTRALIA;2491;2843;2893;2584;2683;2912;2893;2924;2812;3205;3375;3315;3387;3244;3120.2;3404;3447.2;3649.5;3892.6;4204.1;4585.1;5155.7;5487;5751.9;5898.1;954;153.5
AUSTRIA;477;515;530;500;535;624;576;594;619;755;792;797;747;706;645;741;915;1105;1227.4;1380.5;1739.7;1733;2047;2188.3;2313.5;234.2;44.3
AZERBAIJAN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3;4;6;7;7;8;16;14;15;15;15.8;19.6;20.1;19.5;22.6;30.1;43;59.2;5.9;6
BAHAMAS;20;26;NULL;NULL;NULL;16;11;8;7.6;8.1;8.8;8.5;8.1;8.3;7.5;8.6;8;9.5;9.3;10.3;12.1;12;13.9;14.7;13.9;2.3;2.2
BAHRAIN;75;84;83;97;101;107;135;187;212;268;287;374;390;NULL;NULL;NULL;339;367;335;378.4;143;112;74.9;13.7;6.4;8.4;3.3
BANGLADESH;26;30;34;36;35;38;38;41;43;51;36;37;57;NULL;NULL;12;13.1;14;12;15.5;9;11.9;15.4;16.6;17.3;9.1;5.7
BARBADOS;3;2;1;2;4;2;2;2;4;3;3;3;10;4;3;4;4;4;3.6;4;4.9;4.7;5.6;5.5;3;1.5;0.7
BELARUS;1.2;3;2.3;4;0.4;1;1;3;2;2;2;2;2;1.1;1;1;4;13.9;17.6;16.6;22.3;24.1;25.8;45.7;64;21.8;NULL
BELGIUM;230;266;286;267;287;297;268;348;294;318;298;305;302;268;238;256;307;367;398;437.1;498.3;343;428.9;486.6;503.9;63.8;31.2
BELIZE;5;5;4;NULL;NULL;3;4;3;4;4;4;5;5;5;5;6;6;7;7.9;8.1;9.7;10.9;11;13.2;13;3.8;2
BENIN;3;NULL;NULL;NULL;0.7;0.5;0.5;0.2;0.2;0.3;0.3;0.6;0.8;1.6;0.9;0.8;1.1;2.7;6.2;11.7;10.1;10;13.7;15;15.3;15.8;NULL
BERMUDA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.9;0.9;0.9;1.3;1.6;1.2;2.5;0.3;0.3
BHUTAN;1.5;1.6;1.7;1.4;1.6;1.4;1.4;1.3;1.4;1.7;2.8;4.3;5.4;7.4;7.7;8.6;14.9;21.3;21.2;32.1;24.7;30.3;33.257;29.71;33.3;2.8;0.001
BOLIVIA, PLURINATIONAL STATE OF;11;13;13;14;20;18;17;16;15;22;25;34;34;39;36;38;42;49;55.8;46.9;51.3;55.9;61.6;64;59.7;18.1;3.7
BONAIRE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BOSNIA AND HERZEGOVINA;NULL;NULL;1;1;1;1;1;1;2;2;2;3;4;5;4;7;9;12;35.1;58;89.3;95.8;134.7;169.3;219.4;11.1;7.6
BOTSWANA;7;8;9;9;10;15;12;12;12;12;NULL;15;25;28;22;26.2;NULL;45.9;52.5;37.3;23.2;26.7;39.2;39.4;NULL;4.4;NULL
BRAZIL;67;110;95;122;130;122;127;108;129;156;177;217;206;256;208;210;261;294;299;344;279;299.1;242;250.3;296.1;68;12.6
BRITISH VIRGIN ISLANDS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.2;3.5;3.5;2.8;3.7;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BRUNEI DARUSSALAM;NULL;NULL;NULL;892;897;913;786;NULL;NULL;NULL;76;100;144;186;122;170;195;169.6;180.5;161;177.8;179.3;211.5;228.8;282.6;51.1;1.7
BULGARIA;13;14;19;21;21;24;24;22;27;32;35;38;44;48;42;44;51;56;77.6;92.2;93.3;95.1;112.4;119.2;122.3;19.9;20.1
BURKINA FASO;2;2;2;3;4;4;3;4;3;5;7;6;12;6;7;7;8;9.3;9;24.7;8.9;7.6;8;8.6;9.2;3.3;3.3
BURUNDI;3;2;1;1;2;1;3;1;1;5;4;3;12;4;4;3;4;4;11;12;7;21;42;NULL;NULL;NULL;NULL
CABO VERDE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CAMBODIA;156;174;147;105;135;152;158;409;412;589;787;1022;1384;1436;1467;1789;2085;2685;3199;3460;3671.8;3806.6;4248.8;4914;5344.9;975.6;177.9
CAMEROON;2;3;6;7;7;8;4;5;NULL;4;4;28;29;NULL;NULL;NULL;NULL;NULL;23.6;21.1;21.6;23.8;22.6;26.9;25.2;6.2;NULL
CANADA;1301;1509;1393;1145;1251;1340;1195;1210;900;1222;1282;1282;1267;1231;1026;1170.3;1222.6;1285.6;1389.4;1590.1;1690.5;1994;2182.5;2149.3;2176.2;299.4;129.1
CAYMAN ISLANDS;NULL;NULL;NULL;NULL;NULL;2;2;1;1;1;1;1;2;2;2;2;2;2;2.8;2.7;3.2;3.2;2.8;2.3;2.5;0.5;0.1
CENTRAL AFRICAN REPUBLIC;NULL;NULL;NULL;0.3;NULL;1.2;0.4;0.2;0.3;0.3;0.4;0.4;0.5;2.2;3.9;5;5.8;5.9;6.3;7.3;9.9;6.7;8.4;8.3;5.1;NULL;NULL
