Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
AFGHANISTAN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ALBANIA;NULL;NULL;NULL;NULL;322;295;320;439;532;610;703;857;1061;1335;1513;2239;2739;3214;2963.6;3423.7;3759.4;4485.4;4686.7;5331.6;5796;2616.9;5172.8
ALGERIA;38;46;48;57;73;99;107;140;157;198;228;253;271;268;284;242;219;240;244.7;257.6;289;310.8;375.7;427.1;321.3;71.7;34.4
AMERICAN SAMOA;NULL;NULL;NULL;0.4;0.5;0.9;0.5;NULL;NULL;NULL;0.4;0.4;NULL;0.387;0.41;0.367;0.38;0.373;0.4;0.4;0.4;0.5;0.5;0.5;NULL;NULL;NULL
ANDORRA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2202;2283;2330;2596.8;2741.1;2921.6;2959;3006.4;1832.3;1902
ANGOLA;6;13;27;34;29;31;38;52;55;101;110;63;89;130;161;170;170;177;231;326;198;213.1;134.5;105.7;111.9;37.7;30
ANGUILLA;2;3;5;10;12;9;8;5;6;8;8;9;11;9;7;8;8;7.2;7;8;7.9;8.9;8.4;6.2;10.7;3.1;2.1
ANTIGUA AND BARBUDA;84;88;90;88;87;90;78;82;99;113;108;107;115;110;93.4;89;92;90;88;91;96;96.1;90.5;88.8;98.2;38.5;52.6
ARGENTINA;248;299;320;344;337;354;371;324;456;546;631;662;738;766;722;998.2;969.5;911.7;865.9;891.2;895.9;989.5;963.6;994.9;1096.5;356.8;75.9
ARMENIA;8;11;16;23;27;25;48;80;99;127;160;203;278;308;311;351;375;605.7;702;811.9;922.4;937.7;1095.7;1269.4;1516.3;325.1;702.1
ARUBA;52;55;57;49;49;47;45;44;55;60;63;62;67;74;75;76;81;80;77;80.2;80.6;86.7;90.6;89.7;93.3;28.2;53.7
AUSTRALIA;762;811;888;965;1088;1212;1197;1198;1228;1261;1330;1368;1355;1381;1401.4;1389.8;1335.5;1345.9;1457;1488.9;1520.5;1596.2;1644;1689.8;1678.8;442.1;44.7
AUSTRIA;15722;15570;15063;15680;15843;16084;16474;16984;17387;17467;18031;18265;18795;19993;19613;20043;20819;21599;22043;22242;23051;24427;25361.8;26488.9;27356.3;14458.1;12228.8
