Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
AFGHANISTAN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ALBANIA;83;78;19;33;152;79;103;111;120;139;130;141;162;189;215;216;191;180;182;198;211;276;393;439.3;468.4;64.1;205.9
ALGERIA;110;172;107;NULL;196;201;203;322;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AMERICAN SAMOA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;5.4;3.5;3.5;3.3;3.3;3.2;5;3.9;4.3;3.6;2.8;NULL;NULL;NULL
ANDORRA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ANGOLA;NULL;NULL;NULL;1;NULL;NULL;1;3;3;4;5;NULL;18;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ANGUILLA;78;58;81;85;78;84;73;81;81;97;111;134;129;101;95;101;106;114;136;163;173;162.9;137.5;74;149.7;35.9;20.9
ANTIGUA AND BARBUDA;227;270;286;336;328;427;409;310;384;523;467;584;673;597;710;558;606.5;572;534;522;644;609;793;795;734;150.8;80.6
ARGENTINA;NULL;NULL;NULL;NULL;NULL;389;300;275;339;274;318;391;453;492;457;1031.4;1012.2;973.6;1047.6;997.3;1003.1;1018.9;1032.5;1036.8;1094.7;358;28.3
ARMENIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARUBA;293;316;297;259;289;490;487;582;542;576;553;591;482;556;607;570;600;577;688;667;607;656;792.4;815;832;NULL;NULL
AUSTRALIA;14;15;13;21;33;27;24;22;16;14;13;19;26;27;26;18;11;16;96.2;57.2;62;59.8;72.2;78.3;78.5;39.1;0.2
AUSTRIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AZERBAIJAN;NULL;1;3;1;1;1;2;2;6;8;10;9;9;15;13;14;20;21;26.6;16.1;32.1;16.8;18.9;28.3;24.5;19.7;17.1
