Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
AFGHANISTAN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ALBANIA;NULL;NULL;NULL;NULL;1;1;1;1;1;1;1;1;1;1;1;1;1;2;4;2.6;3.6;4.3;4.7;7.2;11.7;1.8;37
ALGERIA;13;10;9;8;10;13;18;24;23;23;29;37;45;45;54;50;61;40;72.5;80.9;50;41.6;79.8;57.4;50.3;13;6.7
AMERICAN SAMOA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ANDORRA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ANGOLA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;1;3;1;2;3;4;9;3;6;8;6.6;4.9;9.8;5.4;4.3;5.5;1.9;3.5
ANGUILLA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ANTIGUA AND BARBUDA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.2;0.1;0.2;0.1;0.5;NULL;0.1
ARGENTINA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0.8;1;0.8;0.2;NULL
ARMENIA;NULL;NULL;1;1;2;2;13;14;19;23;28;33;41;44;45;46;49;49.7;52;55.8;20.9;18.8;30;37;37.4;4.1;16.2
ARUBA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AUSTRALIA;17;20;19;27;34;35;35;31;34;43;49;52;63;75;64.6;70.3;62.3;63;71;77.7;80.9;84.8;88.2;85.2;83.2;17;4.9
AUSTRIA;22;20;26;25;25;29;33;28;38;43;68;75;91;102;97;120;160;218;268.4;302.5;419.2;382.2;384.1;392.5;384.4;30.8;109.5
AZERBAIJAN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2;2;2;2;2;2;4;3;4;4;5;5.6;5.4;9.3;137.6;260.7;331.1;314.3;40.9;38
BAHAMAS;NULL;NULL;NULL;NULL;NULL;1;1;NULL;0.5;0.8;0.6;0.7;0.8;0.8;0.7;0.6;0.9;0.9;0.8;0.9;1.1;1.1;1.2;1.3;1.2;0.2;0.4
BAHRAIN;1782;1474;2018;2242;2561;3060;3447;3642;3559;4141;4676;5210;5451;NULL;NULL;NULL;4276;5333;6423;7494.7;9312;9823;11031.7;11721.8;10770.2;1799.7;3543
BANGLADESH;3;3;2;4;5;4;4;3;3;3;3;4;5;NULL;NULL;NULL;NULL;NULL;0.3;0.6;0.8;2.3;1.9;1.5;1.5;NULL;NULL
