Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
AFGHANISTAN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ALBANIA;NULL;NULL;NULL;106;172;218;243;370;470;582;680;889;1060;1340;1804;2370;2889;3472;3206;3624.4;4089.2;4676.8;5049.5;5839.6;6304.8;2542.5;5588.4
ALGERIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;240;267;323;321;326;359;429;377;630;702;672;611.6;723;942.3;1470;1837.7;1775.7;474.5;21.6
AMERICAN SAMOA;28;29;19;29;34;34;28.3;NULL;NULL;NULL;20.1;20.7;18.9;18.945999999999998;17.137;17.226;17.182000000000002;17.069;16.6;17.5;16.299999999999997;16.6;16.799999999999997;16.64;NULL;NULL;NULL
ANDORRA;NULL;NULL;NULL;NULL;NULL;NULL;10687;10907;10975;10978;10405;10244;10288;9798;8616;7959;7896;7814;7569;7680;7677.7;7880.8;8021.7;8153.4;8045.6;4886.9;5246.4
ANGOLA;6;18;39;43;39;46;56;62;88;173;182;98;166;235;289;313;246;289;386;360;320;290.8;187.3;167.2;168;57.3;57.6
ANGUILLA;104.8;84.2;111.2;111;103.7;109.3;101.1;107.4;105.5;117.2;138.3;160.4;155.6;122.2;108.5;114.5;120.6;126.6;148.4;173.6;182;171;148;84.2;163;40.3;28
ANTIGUA AND BARBUDA;186;199;209;202;NULL;NULL;NULL;NULL;NULL;234;231;240;251;258;228;225;234;NULL;NULL;240.39999999999998;241;258.09999999999997;240;258.4;285.7;118.6;163.4
ARGENTINA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1197.2359999999999;1482.1180000000002;1780.521;1922.783;1966.2060000000001;1694.3229999999999;2203.459;2243.116;2172.98;1956.781;2010.1419999999998;1826.766;1837.371;1872.651;2017.409;2332;560;153.7
ARMENIA;10;11;20;27;33;41;99;131;167;217;251;268;336;369;378;453;523;631;672;776;770;857.8;1137.5;1200.9;1593.4;318.9;716.3
ARUBA;604;623;610;609;643;681;651;612;609;695;699;660;737;799;NULL;800;816;856;924;1015;1162.2;1042;1008.7;1022.5;1070.9;348.90000000000003;772.4
AUSTRALIA;3156;3504;3626;3501;3714;4080;4019;3968;3847;4216;4395;4315;4336;4247;4271;4431;4351;4577;5038.299999999999;5435.4;5869.6;6670.3;7071.7;7440.1;7624.299999999999;1421.8;192.3
AUSTRIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AZERBAIJAN;58;43;96;45;64;75;49;59;103;150;890;910;1028;1505;1450;1415;1647;1889;1860;1627.4;1373.9;1557.1;1862.3;2062.2;2319.8999999999996;618.2;595.1
BAHAMAS;1477;1486;1440;1380;1403;1364;1376;1357;1378;1412.3999999999999;1473.3;1485.8;1395;1341.8;1244;1301.8999999999999;1261.6;1332.1000000000001;1278.7;1348.1000000000001;1389.7;1391.8;1365;1530.8;1695.6;402.2;859.5999999999999
BAHRAIN;1273;1813;2443;2744;3090;3610;4058;4412;4302;5020;5687;6421;6788;7362;NULL;NULL;6082;NULL;NULL;NULL;7275.5;8632;10697;11220.5;10166;1770.5;3413.6
BANGLADESH;108;122;124;117;137;159;173;177;211;216;105;109;156;340;145;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BARBADOS;423;423;435;471;460;485;450;439;466;481;476;503;516;508;463;479;514;485;451;462.2;533.2;573.9;609.8000000000001;628.4;477.29999999999995;184.39999999999998;134.2
BELARUS;NULL;NULL;NULL;NULL;NULL;1795;1592;1727;1515;1566;4324;4751;4837;4837;4505;5302;5464;5723;5866;5026;4105;8179;8273;8833.2;8939.1;2775.1;2632.1000000000004
BELGIUM;3621;3653;3750;3901;4022;3974;4054;4319;4406;4377;4381;4503;4605;4588;4532;4779;4886;4772;4846;5045.2;5450.2;4809.8;5444.4;6048.4;6194.9;1744;2207.4
BELIZE;332;340;294;167;172;187;186;186;208;219;225;235;238;235;222;231;238;264;281;304;326.1;371.4;410;477.8;490;135.1;203.5
BENIN;NULL;NULL;NULL;NULL;24;19;NULL;NULL;NULL;NULL;NULL;NULL;88;103;82;103;115;121;117;118.39999999999999;118.3;127.30000000000001;135.1;134.4;138.20000000000002;171.3;NULL
BERMUDA;330;333;319;309;301;284;244;244;206;216;211;242;238;203;185;184;184;187;187;177.8;174.8;200.39999999999998;221.4;235.2;222.20000000000002;32.7;66
BHUTAN;4.8;5.2;5.4;6.2;7.2;7.6;6.4;5.6;6.3;9.2;13.6;17.3;21;26;22;37;43;85;98;117.65;140;192.1;237.7;258.9;298.2;27.5;0.001
BOLIVIA, PLURINATIONAL STATE OF;178;267;302;331;291;262;260;275;378;431;490;488;536;556;549;623;652;732;732;783.5;774.9000000000001;844.5999999999999;974.4;1003.7;1089.3;284.1;158.1
BONAIRE;NULL;NULL;61;55;48;47;46;50;63;61;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BOSNIA AND HERZEGOVINA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;316;364;523;608;736;831;962;151;411.2
BOTSWANA;471;462;547;671;762;961;1095;1151;1300;1443;1396;1349;1618;1954;1575.7;1785;NULL;1465.4;1187.1;1357;1037.4;1112.7;1241.2;1282.3;NULL;259.2;NULL
BRAZIL;1455;1901;1921;3532;4023;3833;3330;2714;3059;3418;3799;3607;3649;3676;3702;3959;4042;4246;4290;5022;5032;5322.4;5560.9;5727.5;5374.8;NULL;NULL
BRITISH VIRGIN ISLANDS;218;247;242;274;280;266;289;276;312;300;NULL;344;345;329;293;313;317;330;343;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BRUNEI DARUSSALAM;442;789;NULL;926;931;950;823;NULL;NULL;NULL;811;NULL;142;185;118;169;195;157;163;148.8;169;173.6;215.7;234;289.8;53.5;1.4000000000000001
BULGARIA;7813;6657;7355;5107;4886;4744;4920;5383;6025;6709;6942;7167;7350;8115;6798;7440;7741;7826;8166;8191.400000000001;8126.2;9183.3;10034.2;10640.5;10791;4241.8;6322
BURKINA FASO;66;78;81;87;66;67;131;88;101;124;99;125;163;155;155;164;178;192.39999999999998;187;208;199.3;182;194.9;196.9;196.60000000000002;188.1;235.8
BURUNDI;22;18;8;10;17;19;24;52;52;88;100;149;165;173;182;122;111;134;217;193;121;156;252;NULL;NULL;NULL;NULL
CABO VERDE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
