Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
AFGHANISTAN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ALBANIA;NULL;NULL;NULL;63;169;77;97;100;88;63;68;48;66;79;52;47;43;42;50;48.2;42.1;58.7;68.5;87.2;101.2;115.3;100.2
ALGERIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;65;101;118;146;185;197;227;278;272;280;292;328.6;360;380.4;238;181.1;158.1;35.6;45.4
AMERICAN SAMOA;6;5;7;7;7;10;7.7;NULL;NULL;NULL;4.4;4.6;5.2;5.337;6.407;5.873;5.414;5.51;4.2;4.1;4;3.5;3.2;3.548;NULL;NULL;NULL
ANDORRA;NULL;NULL;NULL;NULL;NULL;NULL;664;601;626;691;645;493;456;396;496;592;87;86;107;117;172.7;144.5;130.4;174.9;189.4;319.7;176.1
ANGOLA;3;3;6;9;6;5;11;29;19;21;28;24;28;59;76;112;235;239;264;235;272.4;106.6;73.6;50.7;49.5;6.3;6.1
ANGUILLA;2.3;2.1;2.7;2.8;3.1;3.1;3.9;3.7;3.8;3.6;4.9;6.8;8.5;5.7;3.6;3.9;3;2.8;2.9;3.1;4;5;3;3.1;3.3;0.8;0.7
ANTIGUA AND BARBUDA;5;3;2;2;NULL;NULL;NULL;NULL;NULL;12;14;14;11;8;6;5;7;NULL;NULL;8.8;9;7.1;7.3;10.6;15.3;6.4;6
ARGENTINA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;382.455;388.272;361.881;451.407;435.067;388.276;493.971;508.523;450.345;476.435;511.205;525.263;477.3;559.719;662.196;588;74;21.2
ARMENIA;2;2;3;5;8;4;25;31;39;46;67;114;175;189;197;230;235;332;412;428;422;401.8;357.3;450.9;301;56.3;154
ARUBA;15;17;36;38;40;40;40;31;33;33;34;34;35;28;NULL;24;53;48;55;57;62.8;60;61.8;59.4;48;19.4;34.3
AUSTRALIA;570;659;692;667;745;851;837;873;900;999;1104;1218;1309;1339;1219;1360;1420;1455;1443.4;1486.4;1579.7;1598.5;1743.6;1805.5;1841.5;405.9;54
AUSTRIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AZERBAIJAN;35;167;210;438;538;606;718;775;935;1130;287;284;305;394;380;548;592;595;649;670.4;632.3;691.7;834.4;787.4;850.5;177.5;196.7
BAHAMAS;121;147;178;148;174;180;162;156;127.2;148.2;151.8;127.5;142.9;126.8;92;76.5;93.4;98.8;98.4;95.4;106.6;106.9;86.9;101.8;111.3;38.3;31.3
BAHRAIN;122;175;157;153;190;259;330;419;542;647;627;868;1045;1269;NULL;NULL;650;NULL;NULL;NULL;2394;1526;677;824.2;895.2;138.5;198.4
BANGLADESH;48;43;58;55;36;40;34;30;34;55;103;91;133;127;122;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BARBADOS;19;24;37;41;55;60;57;58;65;70;72;60;58;60;55;53;54;51;58;58.6;59.1;58.2;53.8;51.8;45.2;22.9;9.3
BELARUS;NULL;NULL;NULL;NULL;NULL;235;260;180;214;250;414;525;446;425;367;372;413;407;376;349;281;2756;2787;2668.4;2892.9;823.3;728.9
BELGIUM;1939;2176;2287;2278;2346;2483;2398;2400;2284;2333;2366;2492;2440;2576;2283;2407;2608;2788;2838;2842.2;2904.5;2671.6;2940.1;3070.4;3148.4;840;1035.7
BELIZE;10;9;12;9;9;9;10;13;13;12;12;12;13;10;10;11;12;13;13;17;15;14.2;17;11.4;13.2;9;15.6
BENIN;NULL;NULL;NULL;NULL;56;77;NULL;NULL;NULL;NULL;NULL;NULL;97;85;108;96;94;99;114;124;136.2;140;145.6;160.3;171.2;153.6;NULL
BERMUDA;57;57;61;60;54;48;34;39;51;55;59;57;68;61;50;48;52;45;49;46.6;45.1;44;48.1;46.6;47.3;9.4;6.1
BHUTAN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2;2;4;23;20;18;15.8;15.1;17.5;16.9;15.2;17.4;2.3;NULL
BOLIVIA, PLURINATIONAL STATE OF;106;46;53;57;51;43;56;59;50;49;34;33;37;38;50;56;59;66;66;87.1;106.7;116.3;134.1;138.2;150;39.1;21.8
BONAIRE;NULL;NULL;1;5;7;4;4;1;2;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BOSNIA AND HERZEGOVINA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;213;172;155;170;187;222;236;45;90.7
BOTSWANA;50;49;60;79;81;143;98;123;106;80;78;77;118;147;145.7;188;NULL;149;357;609;490.2;461.5;381.4;372.4;NULL;69.3;NULL
BRAZIL;536;765;929;1286;1084;1480;1443;1070;1075;1376;1559;1410;1377;1374;1100;1203;1391;1431;1523;1408;1274;1224.2;1027.8;893.9;978.4;NULL;NULL
BRITISH VIRGIN ISLANDS;1;2;2;5;4;6;7;6;6;5;NULL;12;13;16;16;17;21;21;23;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BRUNEI DARUSSALAM;56;48;NULL;38;36;34;17;NULL;NULL;NULL;4;NULL;36;41;39;45;47;52;62;52.2;49.2;45.1;43.2;44.2;43.5;8.8;2.1
BULGARIA;192;154;188;132;170;178;184;180;216;272;340;332;376;418;1075;934;972;1041;1026;1217.4;1191.5;1421.1;1561.9;1727.9;1761.2;731.5;866.4
BURKINA FASO;107;105;112;123;84;98;53;111;115;165;225;233;211;221;246;263;256;290.6;319;278;275.2;306.4;317.6;343.5;372.8;247.5;284
BURUNDI;11;9;3;5;9;10;12;22;22;45;49;64;27;28;30;20;33;13;17;42;10;31;47;NULL;NULL;NULL;NULL
CABO VERDE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CAMBODIA;44;58;49;37;55;47;62;58;71;68;87;109;146;159;133;141;143;168;185;206;299.6;342.2;373.2;687.1;1371.4;272;91.1
CAMEROON;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CANADA;2530;2641;2868;3045;3087;2842;2519;2560;2231;2571;2622;2651;2587;2666;2346;2412;2462.6;2488.8;2553.2;2687.5;3124.3;3612.4;3783.3;3518.9;3784.2;NULL;NULL
CAYMAN ISLANDS;NULL;NULL;NULL;NULL;NULL;16;10;13;15;14;12;19;21;19;16;17;18;20;20;19;18.7;21;23.6;27.3;31;7.9;NULL
CENTRAL AFRICAN REPUBLIC;NULL;NULL;NULL;3.4;NULL;5;4;1.6;1.7;2.5;4.2;5.6;5.9;13.9;25.5;29.8;37;38.8;34.6;40.1;43.9;41.4;51.2;53.4;40.2;1.2;NULL
CHAD;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;24;23;22.4;12;22;12;29;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.3;17.4
CHILE;353;223;173;144;166;248;207;195;210;240;350;478;459;568;734;769;702.4;650.8;624;665.7;692;814;636;554.4;487.6;95.1;NULL
CHINA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3220;2902;3861;4598;5548;6961;5678;5237;6197;6326;6280;6194;5396;5377;5797.4;5696.8;6147;6284.7;NULL;NULL
COLOMBIA;657;NULL;339;82;NULL;68;56;135;165;217;266;NULL;NULL;NULL;NULL;158.3;207;239.7;301.5;429.1;438.2;438.2;448.2;459.1;460.3;88.48;89.1
COMOROS;2;3;3;4;2;2;3;4.3;4.1;4.3;4.9;5.4;4.4;4.2;3;3.3;3.5;5.6;3.3;5.1;5.7;5.1;6.8;10.4;8.1;1.5;3.9
CONGO;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;72.1;76;100;124.3;58;56.4;49.7;42.9;73.2;NULL;NULL;NULL
CONGO, DEMOCRATIC REPUBLIC OF THE;20;NULL;NULL;9;15;10;5;3;21;22;42;35;26;32;34;35;119;76;84.2;138.8;146.8;145.8;NULL;NULL;NULL;NULL;NULL
COOK ISLANDS;2;2;2;2;2;3;3;4;4;4;3;3;4;4;3;3;3;4;4;4.2;4.3;5.1;5.6;5.9;6;0.6;0.4
COSTA RICA;193;122;114;214;260;259;210;264;272;250;272;297.7;328.5;443.4;221.8;271.1;302;306;287;347;419;294.6;244.6;285.4;161.2;NULL;92.7
COTE D´IVOIRE;84;107;135;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;101;107;115.6;152;197.8;605;570;774.1;841.7;885.7;286.2;246.7
CROATIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CUBA;9;10;11;11;12;12;13;13;12;11;12;13;12;12;12;12;16;17;15;14.2;18.6;23.2;31.4;14.7;24.8;5.1;4.6
CURAÇAO;24;24;9;3;32;39;39;31;24;21;15;15;12;23;34;38;30;26;31.4;34.4;30.9;26.1;30;25;22;5;15
CYPRUS;NULL;NULL;NULL;121;126;145;129;131;127;139;143;151;175;165;157;150;161;125;100;115;137;176.8;213.1;237.7;248.5;74;NULL
CZECH REPUBLIC (CZECHIA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
DENMARK;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;984;1235;1218;1175;1157;1035;1099;734;771;789;1104;1171;1124;1471;1535.2;1526;373;483
DJIBOUTI;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;60.8;63.9;72.4;41.5;54.6
DOMINICA;10;11;12;11;13;12;12;13;13;14;13;14;10;15;14;14.2;13.9;13.4;12.7;13.7;13;13.2;12.4;11.8;9.3;2.7;3.2
DOMINICAN REPUBLIC;111;122;99;70;107;117;85;87;96;94;128;143;159;141;141;166;159;150;154.5;134;115.1;115.8;107;135.3;122.5;80.1;113.6
ECUADOR;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;259;282.5;256;169;69;66;113;240.9;277.7;311.2;120.5;216
EGYPT;NULL;NULL;92;84;159;117;86;95;139;182;182;142;95;111;179;126;86;101;149;144;82;47.3;73.4;100.8;116;NULL;NULL
EL SALVADOR;5;11;174;341;252;304;241;4;156;209;264;341;343;417;168;165;143;155;146.3;157.7;165.2;202.4;136.7;152.8;112.2;33;47.5
EQUATORIAL GUINEA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ERITREA;79;178;175;96;15;21;22;21;16;13;13;12;10;8;7;7;7;6;4;3;NULL;6;NULL;NULL;NULL;NULL;NULL
ESTONIA;365;460;590;640;723;761;760;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ESWATINI;NULL;93;54;93;81;77;93;109;122;121;168;174;165;151;151;129;135;128;130;155;210.3;181.5;190.5;179.6;185;49.4;71
ETHIOPIA;43;40;44;32;30;35;32;43;48;46;62;98;61;65;119;114;141;188;188.6;213.7;241;154.4;71.8;196.4;176.6;NULL;22.7
FIJI;28;26;28;31;32;22;24;31;33;39;43;46;36;45;42;45;48;41;33.1;37.1;44.2;54.4;56.5;52.3;56.9;10.2;2.2
FINLAND;NULL;NULL;NULL;1165;1139;1262;1321;1273;1257;1314;1480;1607;1696;1788;1451;1481;1656;1776;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
FRANCE;NULL;7984;8663;NULL;NULL;NULL;9866;NULL;NULL;10857;8361;8040;8283;11111;10234;9702.9;11120.4;10178.9;10178.6;11772.5;11847;11663;11842;11064;11261.2;NULL;NULL
FRENCH GUIANA;NULL;NULL;NULL;NULL;NULL;NULL;30;24;NULL;NULL;48;NULL;67;NULL;37;NULL;NULL;NULL;NULL;NULL;34.7;38.2;44.3;NULL;NULL;NULL;NULL
FRENCH POLYNESIA;8;7;12;10;NULL;NULL;10;12;14;13;13;14;12;15;13;12;12;12;11;13.5;12.7;18;13;12;14.3;5.5;6.4
GABON;34;23;33;44;41;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GAMBIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;5;3;2;8;41;21;21;NULL;NULL;NULL;1.3;1.2;5.6;9.4;4;NULL;6.4
GEORGIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;533.7;545.5;532.1;623.8;831.5;NULL;NULL
GERMANY;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GHANA;NULL;NULL;NULL;NULL;NULL;145;160;176;193;213;158;189;258;279;321;NULL;NULL;NULL;NULL;NULL;NULL;485.9;685.2;624.5;621.7;196.4;276.8
GREECE;964;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GRENADA;10;NULL;12;13;NULL;12;12;19;22;31;19;19;26;26;19;21;20;9.8;7.3;11.9;11.4;14.8;12;11.3;10.8;3;2.9
GUADELOUPE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;23;25;NULL;24;78;77;NULL;NULL;NULL;NULL;NULL;NULL
GUAM;NULL;NULL;26;23;21;20;18;17;17;31;37;35;36;31;37;42;39;44;42;45;42;53.4;69.7;46.8;51.2;9.8;13.5
GUATEMALA;175;161;179;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;315;342;395;245.3;282.3;283.1;294.9;298.7;337.1;395.4;236.9;301.7;338.8;356.4;84.7;134.4
GUINEA;NULL;NULL;NULL;19;14;16;18;20;20;19;20;20;12;9.7;NULL;6.9;54.8;38.4;28.6;15.6;18.2;33;52;NULL;NULL;NULL;NULL
GUINEA-BISSAU;NULL;NULL;NULL;NULL;NULL;NULL;3.2;NULL;NULL;NULL;1.8;4.4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GUYANA;5;2;2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;19.6;18.7;18.2;20.7;23.2;27.1;30;31.5;35.6;46.6;15.7;27.2
HAITI;26;NULL;27;27;26;NULL;NULL;NULL;18;14;22;22;77;20;61;44;45;NULL;53;51.3;53;41.5;39.4;30.5;16.7;10;9.3
HONDURAS;50;59;46;56;65;69;69;83;93;97;102;136;261;286;289;236;210;248;179;211;183.4;159.3;159.3;143;102.7;20.2;38.7
HONG KONG, CHINA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3407;3572;3862;3516;3630;3071;3424;3563;3585;3567;3830;3995.7;4041.3;3949;3936.5;3033.1;NULL;NULL
HUNGARY;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1569;1740;1710;1624;1850;1594;1635;1422;1390;1327;1204;1329;1304;1189.5;1270.4;1642;1450.429;2335.4
ICELAND;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
INDIA;144;169;154;108;110;110;78;112;188;100;133;88;275;1558;901;861;1419;1480;1693;1144;NULL;1371.7;1364.9;1719.4;1605.7;320.6;189.6
INDONESIA;1367;2116;2454;1599;1899;2093;2196;2056;1914;2191;2063;2011;2161;2433;2317;2570;2746;2784;3081;3162.9;3474.1;3863.6;3067.7;3454.6;3519.4;2551.7;716.5
IRAN, ISLAMIC REPUBLIC OF;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;16.1;NULL;NULL;NULL;NULL;NULL
IRAQ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
IRELAND;876;1213;1304;1604;1740;1829;878;838;815;890;910;1026;1108;1207;964;1018;1082;1140;1220;1301;1378;1395;1401;1358;1464;NULL;NULL
ISRAEL;354;420;411;387;370;266;227;164;213;286;312;237;227;334;348;348;395;433;355;378;364;325;404.7;412.1;450.6;NULL;NULL
ITALY;NULL;6994;8484;8922;8241;9741;9801;10630;9754;8597;9190;10833;11992;12392;13445;13530;13908;14522;14186;13636;13321;14649;14537;14377.6;14875.2;8656;10137
JAMAICA;62;63;64;68;68;67;68;73;71;78;84;101;104;109;101;103;106;100;96.4;97;101;98.4;92.1;91.6;94;33.5;14.5
JAPAN;1048;1126;1202;1105;1187;1293;1236;1287;1281;1383;1477;1523;1576;1455;1193;1395;1244;1443;1465;1537.1;1641;1701.9;1782.7;1795.2;1757.4;216;18.3
JORDAN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;351;362;368;397;400;299;281;296;298;254.5;267.3;453;488.1;527.1;570;135.5;255.5
KAZAKHSTAN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;646;634;825;893;1023;1260;1194;1095;1188;239.4;276.8;1095.6;1178.9;1044.7;1096.9;1186.5;1223.3;1453.4;743.2;719.8
KENYA;101;104;102;87;94;98;92;86;182;246;206;226;242;109;180;266;310.4;291;258.8;228.7;159;180;198.7;NULL;NULL;NULL;248.9
KIRIBATI;1.2;1.2;1.6;1.8;1.7;2.2;1.9;1.6;1.6;1.7;2;0.9;1.4;1.2;1.7;2.3;2;1.7;2.2;1.9;1.4;2.3;1.8;2.9;3.3;0.5;0.06
KOREA, DEMOCRATIC PEOPLE´S REPUBLIC OF;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
KOREA, REPUBLIC OF;218;219;212;182;187;203;213;225;231;267;304;348;359;362;312;311;271;245;328;315.3;243.6;239;232;236.6;252.7;46.1;40
KUWAIT;NULL;NULL;50.6;43.3;30;36.6;46.6;33.7;17.9;2.3;10;16;21;15;14;9;10;11;43.1;10;52;45;44.9;44.1;37;15.4;20.6
KYRGYZSTAN;NULL;NULL;NULL;51;27;25;28;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
LAO PEOPLE´S DEMOCRATIC REPUBLIC;NULL;137;129;140;NULL;NULL;80;NULL;89;54;66;219;179;278;301;452;133;249;329;258;276;466.3;622.9;489.8;689.9;NULL;NULL
LATVIA;NULL;392;398;405;336;430;434;458;409;466;441;596;724;878;651;707;797;750.1;715.4;742.5;819;708.2;761.5;694;710.8;339.8;161
LEBANON;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
LESOTHO;26;71;53;46;46;45;44;43;54;57;60;NULL;46;39;40;52;51;50;46;NULL;NULL;287.6;NULL;NULL;NULL;NULL;NULL
LIBERIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
LIBYA;966;826;627;594;51;50;58;38;40;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
LIECHTENSTEIN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
LITHUANIA;NULL;357;348;294;336;337;272;326;335;408;500;540;424;560;485;455;527;547;577;610;616;639;716.2;788.4;728;212;212.8
LUXEMBOURG;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;157;190;200.3;239;246;NULL;NULL;NULL;NULL;NULL;NULL
MACAO, CHINA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MADAGASCAR;22;24;29;35;40;29;41;15;25;71;80;90;99;108;33;35;40;46.1;37;40.5;52.8;58.5;40.8;33.4;40.4;3.3;0.582
MALAWI;83;84;89;106;122;124;144;206;209;208;227;312;305;372;382;435;460;486.8;474.6;579.1;589.1;613.1;573.2;596.3;421;159;305
MALAYSIA;684;576;505;559;713;1055;1532;2160;1629;2168;2283;2304;2987;3131;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MALDIVES;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MALI;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;74.3;96;62;70;42;49;49.5;45.3;9.7;55.6;NULL;62;5.8;8.8
MALTA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;88;87;95;102;99;112;109;118;118;115;118;130.2;126.9;136.8;180.6;180.3;189.1;50.1;62.8
MARSHALL ISLANDS;2.1;2.5;2.5;1.9;2;2.3;1.9;2.2;2.2;3;3.1;2;2.3;2.1;2.1;2.3;2.1;NULL;NULL;1.3;2.3;2.2;2.6;NULL;NULL;NULL;NULL
MARTINIQUE;45;51;74;64;76;74;66;44;53;61;79;58;80;72;65;57;40;56;39;56.4;NULL;NULL;81.4;79.1;64.2;46.8;44.2
