Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
AFGHANISTAN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ALBANIA;NULL;NULL;NULL;NULL;0.2;0.4;0.3;0.4;0.4;0.4;0.4;0.4;0.4;0.5;0.7;0.8;1;1;1;1.3;1.6;1.7;2.2;3.1;3.6;0.8;21
ALGERIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AMERICAN SAMOA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ANDORRA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ANGOLA;NULL;NULL;NULL;NULL;NULL;1;1;1;NULL;NULL;2;2;4;6;11;10;14;10;8;7.5;10.3;9.4;6.7;6.2;8.6;2.8;3.2
ANGUILLA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ANTIGUA AND BARBUDA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.4;0.5;0.6;0.7;1;0.2;0.3
ARGENTINA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8.3;7.9;9.4;9.8;1.7;0.2
ARMENIA;1;1;2;1;5;9;18;19;24;28;30;32;41;46;59;125;159;148.2;151;150.4;148.2;193.1;227.5;192.1;199.7;27.8;110.8
ARUBA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AUSTRALIA;28;33;40;44;50;60;66;61;63;75;89;108;125;148;151.2;178.2;192;208.6;229.2;261;308.6;351.1;410.8;484.7;537.6;113.9;19.5
AUSTRIA;24;28;24;21;31;35;32;39;30;40;39;50;46;47;48;60;84;89;88;84.4;118.3;147.4;177.7;192.9;192.8;10.6;7.3
AZERBAIJAN;NULL;NULL;106;140;122;242;322;241;253;275;211;165;205;317;340;356;414;292.5;151.7;139.5;159.8;258.5;397.3;326.5;374.4;94.5;134.5
BAHAMAS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.5;0.5;0.6;0.7;0.8;1;0.8;0.9;0.7;0.9;0.8;0.8;1.1;1;1.8;2.2;2.3;0.3;0.4
BAHRAIN;209;193;222;261;299;332;392;522;561;648;720;942;1109;NULL;NULL;NULL;1213;1381;1394;1521.3;NULL;NULL;NULL;64.1;29.8;NULL;20.2
BANGLADESH;64;66;82;77;79;94;94;97;102;100;99;75;102;NULL;NULL;94.7;111;114;70.9;93.1;101.2;146.8;191.6;216.7;273;83.1;10.4
BARBADOS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;1;1;1;4;1;1;2;1;1;1.1;1.1;1.2;1;1.6;1.4;1.1;0.7;0.3
BELARUS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;NULL;NULL;NULL;NULL;7;7.6;7;8;7.9;9.2;12;11.8;5.5;NULL
BELGIUM;22;30;28;17;19;23;27;39;32;33;35;33;44;64;47;52;55;52.5;56;66.5;78.1;61.6;66.5;76.9;69.5;9.7;9.8
BELIZE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BENIN;NULL;NULL;NULL;NULL;0.3;0.3;0.3;0.1;0.1;0.1;3;3.5;2.2;0.7;0.5;0.8;1.1;1.1;1.7;2.6;2.9;1.5;2.9;5;5.3;5.5;NULL
BERMUDA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.4;0.1;0.1
BHUTAN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.1;0.1;0.1;0.2;0.2;0.2;0.2;0.2;0.3;0.4;0.448;245.3;23.6;NULL
BOLIVIA, PLURINATIONAL STATE OF;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.8;1.4;1.8;2;2.4;2.2;0.4;0.8
BONAIRE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BOSNIA AND HERZEGOVINA;NULL;NULL;NULL;NULL;NULL;2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6;1;1.4;2.3;2;3.4;3;0.3;1
BOTSWANA;1;1;1;1;1;2;3;5;2;2;NULL;4;2;2;3;4;NULL;8.6;2.8;9.3;2.7;4.3;4.9;5.8;NULL;1.2;NULL
BRAZIL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;19;11;19;21;22;23;26;30.9;30.4;22.4;21.3;20.1;3.9;1.8
BRITISH VIRGIN ISLANDS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BRUNEI DARUSSALAM;NULL;NULL;NULL;13;13;16;15;NULL;NULL;NULL;NULL;NULL;5;5;4;7;7;7.8;9.6;9.2;10;11.9;15.4;16;15.3;3.1;0.3
BULGARIA;10;10;16;15;14;16;13;9;12;12;11;13;15;21;23;24;27;26;23.5;32.8;36;50.2;52;44.4;40;17.4;30.8
BURKINA FASO;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.3
BURUNDI;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2;3;7;8;11;17;15;NULL;NULL;NULL;NULL
