Pays;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
ABW;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AFG;2046.87;1941.37;1525.47;1527.89;1493.59;1457.69;1407.3;1344.1;1318.0;1122.0;1078.12;1088.638;1403.03;1653.207;1292.307;1961.711;2283.68;2847.81;4375.64;6558.97;8576.15;11961.89;10208.13;9402.05;9281.34;10057.59;9294.93;10022.78;10972.38;11238.83;8709.47
AGO;6564.2;6674.5;6877.3;9269.7;11298.23;12719.48;15442.4;16154.9;16767.9;17613.22;16204.16;15955.9;15689.5;16764.8;17453.6;15811.2;16558.6;16966.4;19275.3;21145.0;22801.5;23865.8;23868.0;26958.7;29610.5;31648.9;29520.7;25064.8;23637.4;24382.9;19814.5
ALB;6060.5;4119.6;2239.3;2078.4;2084.7;1951.1;1968.0;1479.16;1804.55;2985.35;3186.54;3234.2;3761.9;4137.4;4322.3;4095.9;4081.8;4258.4;4209.5;4368.2;4785.4;5136.7;4541.8;4795.4;5188.0;4797.0;4573.2;5403.7;5316.1;4993.3;4383.2
AND;406.704;406.704;406.704;410.368;406.704;425.024;454.336;465.328;490.976;512.96;523.952;523.952;531.28;534.944;560.592;575.248;545.936;538.608;538.608;516.624;516.624;490.976;487.312;476.32;461.664;465.328;468.992;465.328;494.64;479.984;448.884399
ARE;55210.4;61564.1;59702.8;63620.2;70779.6;75166.7;78528.3;81440.9;83449.6;85679.8;84729.1;97196.5;99146.3;103820.5;110007.6;116453.9;121562.5;131831.6;156044.4;157019.8;162788.9;166631.5;175687.9;184960.8;186639.8;195409.4;200398.5;191935.0;174220.3;185645.7;188088.7
ARG;100313.9;105906.6;107921.1;110256.5;111909.9;112886.7;122545.9;126118.7;132669.9;134502.0;132265.5;125255.2;117462.1;127653.5;141376.4;145995.4;154917.5;162820.2;167231.8;156567.5;167226.3;176641.6;177955.3;183255.7;179600.7;185550.0;183158.7;179267.3;176894.6;168162.0;154535.9
ARM;19845.2;20689.6;10755.96;4974.49;2707.87;3436.76;2481.91;3324.3;3492.5;3103.0;3561.0;3602.0;3118.7;3495.4;3763.8;4460.9;4489.2;5204.4;5685.5;4510.8;4336.6;4937.1;5716.5;5501.5;5479.0;5343.4;5066.7;5371.3;5712.2;6195.6;6746.6
ASM;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ATG;218.2;221.4;218.5;222.0;225.2;235.2;254.8;267.6;286.0;299.3;312.5;321.9;335.1;360.7;367.4;376.7;398.0;419.2;428.1;453.6;465.8;456.1;469.9;472.9;476.6;490.2;500.5;500.1;508.6;509.0;474.6
AUS;263437.5;264709.7;268366.5;273016.9;280096.3;290141.5;300180.4;307778.5;327536.9;333677.7;339422.8;345609.4;353315.8;352893.5;366141.6;368801.9;374104.4;384368.3;387570.3;393859.7;395993.2;394436.7;395690.0;388427.4;379267.2;385782.4;394803.6;397149.4;396059.9;395199.1;378996.8
AUT;58275.7;62423.2;57668.0;57804.0;58288.2;61186.4;64902.9;64224.1;64673.1;63055.1;63538.6;67914.4;69374.2;74467.9;75802.1;76242.4;74104.4;71248.0;70734.7;64420.7;69965.1;68276.0;65112.0;65752.7;62054.5;63254.7;63697.1;65867.7;63131.4;64497.8;59142.4
AZE;53483.7;52059.4;63613.2;48052.0;33515.3;32474.9;27193.3;26489.6;26490.5;26122.2;27687.2;26397.2;26177.6;28569.4;28311.9;30043.4;30488.4;27627.7;30447.6;25495.8;24311.9;27282.1;30110.6;30939.6;32243.4;31773.3;32239.4;31957.0;32728.1;35521.0;34305.0
BDI;187.6;229.6;201.2;210.6;210.6;216.9;223.3;226.2;232.5;233.8;262.6;210.2;218.1;171.2;159.6;161.0;191.6;192.1;198.7;198.1;323.3;359.3;364.2;366.4;364.8;366.8;442.0;529.1;664.9;707.4;713.466
BEL;109312.6;113960.1;112329.3;110108.3;114901.4;114568.7;119448.4;116634.7;119412.8;115514.5;117274.6;118339.8;110850.2;115502.1;113350.8;110960.2;108081.5;103905.8;106715.4;99904.4;106872.8;96488.2;95275.6;96550.6;90362.4;95096.0;94171.6;92587.4;93523.2;92989.4;85364.1
BEN;330.11;273.51;282.61;287.29;280.34;302.07;973.49;1236.54;1214.7;1340.5;1424.5;1735.1;2177.3;2443.2;2646.4;2899.6;3471.4;3998.2;4017.6;4417.2;4825.1;4652.6;4444.7;4676.4;5186.1;5505.6;6739.0;6876.2;7604.0;7475.5;7980.4
BFA;594.1;599.6;610.8;623.6;625.8;639.72;724.9;827.85;879.32;933.39;1048.93;1024.23;1027.23;1102.48;1133.84;1151.29;1400.48;1682.82;1909.6;1930.1;2094.3;2200.4;2693.0;2947.0;2997.0;3801.8;3997.8;4625.2;5147.7;5646.5;5456.7
BGD;11523.73;10830.76;11823.48;12568.4;13543.45;16554.48;16825.3;18970.9;19249.5;20105.5;20686.7;25634.5;27284.2;28629.8;30527.5;32710.8;35902.8;37992.3;41580.8;44750.0;50487.6;54309.9;58985.2;62965.7;66313.1;73156.9;81128.9;87658.0;95944.6;92645.0;85493.1
BGR;73605.7;58826.5;55364.1;55925.2;53724.0;54882.8;55301.7;52994.6;50477.5;44322.0;43421.1;46185.6;43599.9;47933.3;47265.7;47985.6;48954.8;52598.7;50039.3;42907.8;44740.6;49637.6;45023.1;39660.7;42054.4;44556.5;41586.7;43885.1;40898.2;39159.9;34138.1
BHR;10737.46;10346.53;12272.25;13066.22;13372.03;13535.88;14154.98;14415.78;15488.92;15450.88;15876.5;16386.32;17221.48;17944.11;17927.3;20693.7;22485.4;23001.0;24762.2;24717.1;25965.7;26017.6;27174.2;28853.0;30282.7;30492.4;30301.1;30514.9;30844.4;32966.8;32470.2
BHS;2014.6;2085.3;1952.5;1825.1;1849.6;1924.2;1894.7;1695.7;2080.7;2127.4;2115.3;2034.5;2068.8;2116.0;2094.7;1955.6;1906.6;1931.7;1981.2;2008.5;1979.4;2183.0;2394.3;2805.4;2518.9;2207.4;2040.7;2170.2;2795.4;2622.7;2456.0
BIH;23965.6;21441.0;15966.67;13403.99;3162.67;3369.47;4188.03;8493.0;10760.7;10516.1;13955.1;13763.7;14556.0;14871.4;15571.7;16225.4;17910.2;18888.5;20761.2;20589.7;20842.5;23738.2;21960.2;21847.8;19506.8;19629.0;22356.6;22692.7;22615.8;21124.3;20946.8
