id;annee;Value
4;2005;71.6
4;2010;100.0
4;2015;132.9
4;2019;149.9
248;2000;85.6
248;2005;90.8
248;2010;100.0
248;2015;108.6
248;2019;113.3
248;2020;112.8
248;2021;114.7
8;2000;74.1
8;2005;86.7
8;2010;100.0
8;2015;111.4
8;2019;119.1
8;2020;121.0
8;2021;123.5
12;2000;70.4
12;2005;81.8
12;2010;100.0
12;2015;126.7
12;2019;151.4
12;2020;155.0
12;2021;166.2
20;2005;89.6
20;2010;100.0
20;2015;103.3
20;2019;105.8
20;2020;106.2
20;2021;108.1
24;2000;2.9
24;2005;53.7
24;2010;100.0
24;2015;159.4
24;2019;378.9
660;2000;68.4
660;2005;81.0
660;2010;100.0
660;2015;105.1
660;2019;107.1
660;2020;106.6
660;2021;108.5
28;2000;81.1
28;2005;89.5
28;2010;100.0
28;2015;110.3
28;2019;115.4
28;2020;116.2
28;2021;118.6
32;2019;232.8
32;2020;330.5
32;2021;490.6
51;2000;65.0
51;2005;76.4
51;2010;100.0
51;2015;124.8
51;2019;129.2
51;2020;130.7
51;2021;140.1
533;2000;72.0
533;2005;84.1
533;2010;100.0
533;2015;103.4
533;2019;109.2
533;2020;107.8
533;2021;108.6
36;2000;74.4
36;2005;86.3
36;2010;100.0
36;2015;112.0
36;2019;119.8
36;2020;120.8
36;2021;124.3
40;2000;82.6
40;2005;91.4
40;2010;100.0
40;2015;110.7
40;2019;118.1
40;2020;119.8
40;2021;123.1
31;2000;49.0
31;2005;61.1
31;2010;100.0
31;2015;117.7
31;2019;156.9
31;2020;161.2
31;2021;172.0
44;2000;80.0
44;2005;88.2
44;2010;100.0
44;2015;109.6
44;2019;116.2
44;2020;116.3
48;2000;83.4
48;2005;87.5
48;2010;100.0
48;2015;110.6
48;2019;118.8
48;2020;116.1
48;2021;115.3
50;2000;53.9
50;2005;69.2
50;2010;100.0
50;2015;144.6
50;2019;179.7
50;2020;189.9
50;2021;200.4
52;2010;100.0
52;2015;167.6
52;2019;191.7
52;2020;181.0
52;2021;203.6
112;2000;16.0
112;2005;61.7
112;2010;100.0
112;2015;387.0
112;2019;508.1
112;2020;536.2
112;2021;586.9
56;2000;81.4
56;2005;90.4
56;2010;100.0
56;2015;108.6
56;2019;117.1
56;2020;118.0
56;2021;120.9
84;2000;77.9
84;2005;88.3
84;2010;100.0
84;2015;103.8
84;2019;106.2
84;2020;106.3
84;2021;109.7
204;2000;74.3
204;2005;85.4
204;2010;100.0
204;2015;109.7
204;2019;110.7
204;2020;114.1
204;2021;116.0
64;2000;80.6
64;2005;74.8
64;2010;100.0
64;2015;87.6
64;2019;100.2
64;2020;105.8
64;2021;113.6
68;2000;62.6
68;2005;73.0
68;2010;100.0
68;2015;133.7
68;2019;148.3
68;2020;149.7
68;2021;150.8
70;2005;85.0
70;2010;100.0
70;2015;103.7
70;2019;104.9
70;2020;103.8
70;2021;105.9
72;2000;44.0
72;2005;64.3
72;2010;100.0
72;2015;132.9
72;2019;149.7
72;2020;152.6
72;2021;162.8
76;2000;52.5
76;2005;79.5
76;2010;100.0
76;2015;138.4
76;2019;167.4
76;2020;172.8
76;2021;187.1
96;2000;95.0
96;2005;95.5
96;2010;100.0
96;2015;99.9
96;2019;99.0
96;2020;100.9
96;2021;102.7
100;2000;56.1
100;2005;72.7
100;2010;100.0
100;2015;106.6
100;2019;114.4
100;2020;116.3
100;2021;120.2
854;2000;74.9
854;2005;86.9
854;2010;100.0
854;2015;107.8
854;2019;108.4
854;2020;110.4
854;2021;114.4
108;2000;41.9
108;2005;61.3
108;2010;100.0
108;2015;154.0
108;2019;182.1
108;2020;195.4
108;2021;211.9
132;2000;78.7
132;2005;82.6
132;2010;100.0
132;2015;108.6
132;2019;110.5
132;2020;111.2
132;2021;113.2
116;2000;61.0
116;2005;68.2
116;2010;100.0
116;2015;117.5
116;2019;130.1
116;2020;133.9
116;2021;137.9
120;2000;77.6
120;2005;85.7
120;2010;100.0
120;2015;112.9
120;2019;118.6
120;2020;121.5
120;2021;124.3
124;2000;81.9
124;2005;91.9
124;2010;100.0
124;2015;108.7
124;2019;116.8
124;2020;117.6
124;2021;121.6
136;2010;100.0
136;2015;103.6
136;2019;114.6
136;2020;115.7
140;2000;72.5
140;2005;80.9
140;2010;100.0
140;2015;133.1
140;2019;151.8
140;2020;154.4
140;2021;161.0
148;2000;72.2
148;2005;85.6
148;2010;100.0
148;2015;116.7
148;2019;117.7
148;2020;122.9
148;2021;122.0
152;2010;100.0
152;2015;118.4
152;2019;131.9
152;2020;135.9
152;2021;142.1
156;2010;100.0
156;2015;114.9
156;2019;108.8
156;2020;111.6
156;2021;112.6
344;2000;95.9
344;2005;89.5
344;2010;100.0
344;2015;123.0
344;2019;134.7
344;2020;135.0
344;2021;137.1
446;2000;80.5
446;2005;79.7
446;2010;100.0
446;2015;131.3
446;2019;144.0
446;2020;145.2
446;2021;145.2
170;2000;58.2
170;2005;79.7
170;2010;100.0
170;2015;117.6
170;2019;140.9
170;2020;144.5
170;2021;149.6
174;2000;69.1
174;2005;84.4
174;2010;100.0
178;2000;75.8
178;2005;83.1
178;2010;100.0
178;2015;116.4
178;2019;124.7
178;2020;127.0
178;2021;129.2
184;2010;100.0
184;2015;108.9
184;2019;108.7
184;2020;109.7
188;2000;37.4
188;2005;63.5
188;2010;100.0
188;2015;121.5
188;2019;128.8
188;2020;129.8
188;2021;132.0
384;2000;75.2
384;2005;88.1
384;2010;100.0
384;2015;110.9
384;2019;111.6
384;2020;114.3
384;2021;119.0
191;2000;75.8
191;2005;85.8
191;2010;100.0
191;2015;107.4
191;2019;109.8
191;2020;110.0
191;2021;112.8
531;2000;76.9
531;2005;84.3
531;2010;100.0
531;2015;108.1
531;2019;115.6
531;2020;118.1
531;2021;122.5
196;2000;77.4
196;2005;88.6
196;2010;100.0
196;2015;101.7
196;2019;102.5
196;2020;101.9
196;2021;104.3
203;2000;77.8
203;2005;87.0
203;2010;100.0
203;2015;107.5
203;2019;116.5
203;2020;120.2
203;2021;124.8
180;2000;6.8
180;2005;58.6
180;2010;100.0
180;2015;130.1
208;2000;81.7
208;2005;90.0
208;2010;100.0
208;2015;107.1
208;2019;110.3
208;2020;110.8
208;2021;112.9
262;2000;70.1
262;2005;77.8
262;2010;100.0
262;2015;112.5
262;2019;120.3
262;2020;122.4
212;2000;80.4
212;2005;86.2
212;2010;100.0
212;2015;102.4
212;2019;105.4
212;2020;104.7
212;2021;105.2
214;2000;31.8
214;2005;73.4
214;2010;100.0
214;2015;122.5
214;2019;135.5
214;2020;140.6
214;2021;152.2
218;2000;45.6
218;2005;80.2
218;2010;100.0
218;2015;121.5
218;2019;124.1
218;2020;123.7
218;2021;123.9
818;2000;45.1
818;2005;57.8
818;2010;100.0
818;2015;156.8
818;2019;288.6
818;2020;303.2
818;2021;319.0
222;2000;71.4
222;2005;84.2
222;2010;100.0
222;2015;108.2
222;2019;111.2
222;2020;110.8
222;2021;114.7
226;2000;56.0
226;2005;77.5
226;2010;100.0
226;2015;118.6
226;2019;124.3
226;2020;130.3
233;2000;66.5
233;2005;79.1
233;2010;100.0
233;2015;111.5
233;2019;122.1
233;2020;121.6
233;2021;127.3
748;2000;50.3
748;2005;69.5
748;2010;100.0
748;2015;135.4
748;2019;166.8
231;2000;37.6
231;2005;0.0
231;2010;100.0
231;2015;205.0
231;2019;319.0
231;2020;383.9
231;2021;486.9
242;2000;70.1
242;2005;80.8
242;2010;100.0
242;2015;116.4
242;2019;132.3
242;2020;128.9
242;2021;129.1
246;2000;86.1
246;2005;91.2
246;2010;100.0
246;2015;108.8
246;2019;112.3
246;2020;112.7
246;2021;115.1
250;2000;84.4
250;2005;92.8
250;2010;100.0
250;2015;105.6
250;2019;110.0
250;2020;110.6
250;2021;112.4
254;2010;100.0
254;2015;105.4
254;2019;108.3
254;2020;108.4
266;2000;81.6
266;2005;88.7
266;2010;100.0
266;2015;109.0
266;2019;122.6
266;2020;124.1
270;2000;51.0
270;2005;81.1
270;2010;100.0
270;2015;130.7
270;2019;172.7
270;2020;183.0
270;2021;196.5
268;2000;54.9
268;2005;70.0
268;2010;100.0
268;2015;114.7
268;2019;131.1
268;2020;140.6
268;2021;154.0
276;2000;85.7
276;2005;92.5
276;2010;100.0
276;2015;106.9
276;2019;105.2
276;2020;105.8
276;2021;109.1
288;2000;19.2
288;2005;52.6
288;2010;100.0
288;2015;182.6
288;2019;278.5
288;2020;306.0
288;2021;336.5
300;2000;72.2
300;2005;85.3
300;2010;100.0
300;2015;100.8
300;2019;101.9
300;2020;100.7
300;2021;101.9
308;2000;73.5
308;2005;82.9
308;2010;100.0
308;2015;103.9
308;2019;108.1
308;2020;107.3
308;2021;108.6
312;2010;100.0
312;2015;106.1
312;2019;109.3
312;2020;110.0
316;2010;100.0
316;2015;106.3
316;2019;120.5
316;2020;122.6
316;2021;127.3
320;2000;51.9
320;2005;74.6
320;2010;100.0
320;2015;121.8
320;2019;142.9
320;2020;147.5
320;2021;153.8
324;2005;42.2
324;2010;100.0
324;2015;185.6
324;2019;262.9
324;2020;290.8
324;2021;327.5
624;2000;78.4
624;2005;84.2
624;2010;100.0
624;2015;108.5
624;2019;112.7
328;2000;56.4
328;2005;72.4
328;2010;100.0
328;2015;109.4
328;2019;116.2
328;2020;117.3
328;2021;123.3
332;2000;26.9
332;2005;66.8
332;2010;100.0
332;2015;139.0
332;2019;122.9
332;2020;150.9
332;2021;176.3
340;2000;48.1
340;2005;72.0
340;2010;100.0
340;2015;129.3
340;2019;150.3
340;2020;155.6
340;2021;162.5
348;2000;57.9
348;2005;76.9
348;2010;100.0
348;2015;111.4
348;2019;121.6
348;2020;125.7
348;2021;132.1
352;2000;54.7
352;2005;67.1
352;2010;100.0
352;2015;117.8
352;2019;129.0
352;2020;132.7
352;2021;138.6
356;2000;54.3
356;2005;66.0
356;2010;100.0
356;2015;148.6
