Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
AFGHANISTAN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ALBANIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ALGERIA;1090;874;827;879;903;1006;1190;1257;1254;1417;1513;1349;1499;1539;1677;1757;1715;1911;2136;2839;3638;4530;5058;5610;5732;1386;344
AMERICAN SAMOA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ANDORRA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ANGOLA;3;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ANGUILLA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ANTIGUA AND BARBUDA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARGENTINA;3815;4296;4517;4592;4786;4953;4762;3008;3088;4436;4481;4533;4928;5425;5793;6083;7676;8295;9844;10022;13159;18645;21583;18411;15352;4087;1074
ARMENIA;NULL;NULL;NULL;NULL;NULL;111;110;131;169;221;269;329;468;516;526;563;715;965;1083;1198;1187;1263;1482;1623;1868;346;423
ARUBA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AUSTRALIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AUSTRIA;NULL;NULL;NULL;NULL;NULL;7528;8350;8266;8384;8371;8206;10042;9876;9677;10121;9882;9874;10960;10671;10994;10628;11534;11491;11043;11902;3964;7522
AZERBAIJAN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1830;1836;1631;2162;2362;3176;3550;3874;4285;4244;4096;4282;4108.5;4908;5568;NULL;NULL
BAHAMAS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BAHRAIN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4740;3293;3136;2868;2950;752;NULL
BANGLADESH;830;911;866;992;1103;1128;1075;1158;1414;1565;1767;1819;2327;875;2254;1913;2127;2273;1460;NULL;NULL;NULL;NULL;NULL;1564;NULL;NULL
BARBADOS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BELARUS;626;703;969;901;934;1289;1387;1436;1108;515;572;525;517;380;316;415;320;493;708;741;739;495;727;851;983;259;479
BELGIUM;NULL;5645;7548;7776;6410;7932;6570;6773;7268;8783;9327;7852;8371;8887;8775;8801;9727;9576;10803;10991;10835;13372;19328;21127;23721;10208;10890
BELIZE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BENIN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BERMUDA;NULL;NULL;NULL;NULL;NULL;NULL;140;145;141;156;161;170;181;192;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BHUTAN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;72;NULL;NULL
BOLIVIA, PLURINATIONAL STATE OF;249;269;285;299;253;201;222;217;304;346;386;472;526;589;518;604;775;788;837;932;965;940;997;1060;1160;432;376
BONAIRE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BOSNIA AND HERZEGOVINA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BOTSWANA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BRAZIL;2600;3797;4014;4171;2863;3228;2674;2338;3229;2968;3364;3886;4662;5238;4920;6457;7807;8497;8866;9617;9478;8872;10610;10628;NULL;NULL;NULL
BRITISH VIRGIN ISLANDS;79;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BRUNEI DARUSSALAM;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BULGARIA;3524;3006;3059;2592;2376;2337;2730;3188;3403;3882;4235;4180;4515;5727;4993;3676;3803;3758;3930;4158;4632;5392;6228;6699;7007;3973;5182
