Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
AFGHANISTAN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;38;70;106;255;110;138;140;151;89;130;226;168;49;NULL
ALBANIA;19;25;13;22;35;290;269;386;507;669;808;989;1331;1644;1692;1452;1677;1374;1567;1689;1311;1338;1473;1750;1852;805;1325
ALGERIA;186;188;144;269;251;193;194;248;255;341;660;414;502;613;574;716;595;598;531;679;762;556;632;542;670;272;238
AMERICAN SAMOA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ANDORRA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;187;132.4;NULL
ANGOLA;113;110;125;96;142;146;80;52;49;86;135;393;473;447;270;275;323;288;316;505;389;823;1216;762;717;691;800
ANGUILLA;6;6;7;8;8;9;9;8;9;9;10;13;15;17;16;13;13;12;12;13.6;15.1;15.7;13.4;12.7;15.3;5.4;6.7
ANTIGUA AND BARBUDA;23;26;27;29;30;31;32;33;35;38;40;45;52;58;54;51;49;49;50;89;95;101;106;112;125;47;50
ARGENTINA;4013;4449;4973;5282;5228;5460;4888;2744;2997;3208;3554;4047;5077;5987;5808;6448;7602;8466;8421;7837;9348;12273;14180;13084;9845;3299;1894
ARMENIA;12;26;45;55;51;56;59;85;97;199;255;300;430;494;496;641;756;874;1007;1101;1057;1033;1218;1335;1543;301;514
ARUBA;79;128;161;140;151;163;156;172;213;248;250;241;270;272;264;261;287;294;342;350;357;319;349;394;399;285;339
AUSTRALIA;7605;8545;8880;8307;8798;9065;8184;8640;10434;14702;16153;17293;22052;25557;22680;27851;33967;35226;40732;38827;34071;35718;39710;42438;41345;7817;1797
AUSTRIA;11686;11777;10672;10399;7517;7001;7408;7743;9761;10812;11077;9628;10559;11438;10826;10120;10556;9987;10253;11095;11337;11634;12878;14110;13991;5157;8245
AZERBAIJAN;165;115;193;181;149;138;119;110;120;140;188;256;381;456;488;856;1778;2617;3032;3163;2743;2593;2803;2453;1839;439;655
BAHAMAS;241;279;310;310;310;348;342;338;404;469;528;541;538;460;386;369;347;384;362;328;347;440;554;519;514;167;253
BAHRAIN;320;298;318;327;395;425;423;550;492;528;574;639;671;704;597;684;899;975;1001;758;4939;3267;3178;2522;2637;844;NULL
BANGLADESH;234;251;314;294;375;471;341;309;389;442;371;481;530;735;651;835;819;889;1308;782;827;843;1127;1207;1389;618;892
BARBADOS;110;114;120;126;132;141;149;146;153;163;158;166;177;154;128;145;114;100;102;115;119;99;51.2;NULL;NULL;NULL;NULL
BELARUS;101;142;122;138;133;247;486;527;436;500;516;675;724;860;752;748;729;948;1333;1308;997;891;1082;1170;1224.5;511;644
BELGIUM;8115;8591;7895;8311;9775;9429;10878;11270;13402;15456;16771;17891;19211;19523;20813;20884;22836;22357;24507;26444;15856;16522;17835;20789;20924;13881;15522
BELIZE;33;38;30;33;39;44;45;48;50;47;45;43;46;44;43;39;37;39;42;51;50;55;53;50;45.4;22.04;42.8
BENIN;48;51;34;32;63;50;48;49;53;59;58;71;107;102;88;91;81;96;39.5;54.2;141;87;148;76;130;79;NULL
BERMUDA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;243;248;217;239;394;453;459;407;417;326;327;322;378;363;373;369;334;342;212;233.1
BHUTAN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;22;26;65;34;43;58;69;67;42.6;44;52;63;79;67;50;18.2
BOLIVIA, PLURINATIONAL STATE OF;72;87;96;98;117;116;114;114;197;232;257;360;385;381;388;421;410;502;660;953;849;960;997;1009.0;1072.3999999999999;327.2;393
BONAIRE;NULL;NULL;NULL;10;8;3;2;2;3;6;5;5;6;7;7;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BOSNIA AND HERZEGOVINA;NULL;NULL;NULL;97;101;92;96;112;145;162;158;210;264;345;285;247;214;196;198;205;278;290;346;378;393;189;292
