Pays;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
AFG;3.104;3.235;3.162;3.126;3.184;3.24;3.167;3.254;3.338;3.386;3.512;3.538;3.581;3.588;3.545;3.448
AGO;1.991;2.009;1.943;2.048;1.997;2.034;2.065;1.922;1.96;1.936;1.988;1.952;1.918;2.016;1.97;2.02
ALB;1.791;1.779;1.781;1.794;1.823;1.819;1.824;1.824;1.779;1.786;1.723;1.733;1.774;1.781;1.764;1.745
ARE;1.651;1.627;1.647;1.642;1.7;1.665;1.735;1.793;1.826;1.929;1.892;1.886;2.022;1.98;1.979;1.979
ARG;1.82;1.886;1.899;1.879;1.867;1.972;1.882;1.929;1.954;1.934;1.911;1.984;1.948;1.926;1.904;1.837
ARM;2.12;2.157;2.213;2.143;2.129;2.135;2.076;2.032;2.037;2.069;2.086;2.047;1.935;1.938;1.933;1.929
AUS;1.395;1.42;1.394;1.432;1.461;1.423;1.382;1.375;1.406;1.421;1.418;1.439;1.434;1.47;1.565;1.525
AUT;1.328;1.362;1.362;1.396;1.371;1.287;1.277;1.247;1.243;1.309;1.272;1.259;1.265;1.319;1.31;1.316
AZE;2.164;2.234;2.238;2.225;2.29;2.286;2.299;2.293;2.275;2.289;2.264;2.274;2.046;2.151;2.173;2.09
BDI;2.336;2.31;2.316;2.247;2.264;2.292;2.266;2.268;2.541;2.569;2.481;2.509;2.458;2.416;2.527;2.393
BEL;1.433;1.479;1.493;1.482;1.506;1.467;1.424;1.441;1.459;1.483;1.55;1.474;1.528;1.515;1.544;1.523
BEN;2.133;2.08;2.096;2.123;2.067;2.021;1.972;1.872;1.921;1.995;1.914;1.925;2.206;2.146;2.176;2.177
BFA;1.685;1.784;1.722;1.751;1.704;1.832;1.719;1.925;2.015;2.037;2.076;2.198;2.294;2.544;2.767;2.868
BGD;2.011;1.945;2.023;2.054;2.109;2.073;1.999;1.982;1.938;1.953;2.014;2.087;2.028;2.018;2.063;2.051
BGR;1.677;1.684;1.677;1.607;1.651;1.684;1.586;1.638;1.612;1.595;1.576;1.603;1.596;1.556;1.557;1.643
BHR;1.879;1.884;1.833;2.139;2.049;2.144;2.116;2.132;2.191;2.298;2.288;2.246;2.148;2.132;2.165;2.145
BIH;1.702;1.773;1.778;1.773;1.816;1.785;1.738;1.802;1.794;1.897;1.917;1.884;1.9;1.855;1.857;1.892
BLR;2.139;2.15;2.136;2.101;2.126;2.069;2.075;2.114;2.059;2.007;2.031;2.046;2.033;2.231;2.278;2.248
BOL;1.952;2.002;2.002;1.942;1.998;1.997;1.951;1.966;1.891;1.937;1.986;1.977;2.037;2.018;1.977;2.001
BRA;1.952;1.958;1.932;2.005;1.965;2.019;2.09;2.09;2.14;2.203;2.16;2.449;2.446;2.403;2.452;2.462
BTN;1.818;1.837;1.913;1.851;1.64;1.567;1.567;1.543;1.469;1.502;1.421;1.404;1.417;1.396;1.386;1.496
BWA;1.796;1.796;1.845;1.842;1.774;1.725;1.862;1.763;1.728;1.737;1.768;1.801;1.815;1.761;1.814;1.762
CAF;2.727;2.622;2.542;2.65;2.66;2.793;3.089;3.156;3.076;2.991;3.057;3.084;2.956;2.914;2.927;2.934
CAN;1.33;1.372;1.44;1.38;1.369;1.318;1.296;1.329;1.324;1.323;1.323;1.32;1.337;1.318;1.39;1.35
CHE;1.448;1.471;1.461;1.435;1.404;1.39;1.371;1.36;1.355;1.342;1.4;1.373;1.365;1.378;1.362;1.339
CHL;1.631;1.653;1.675;1.722;1.643;1.621;1.591;1.608;1.572;1.56;1.628;1.654;1.815;1.787;1.841;1.874
CHN;2.085;2.075;2.179;2.167;2.089;2.075;2.073;2.111;2.102;2.123;2.061;1.986;1.949;1.989;2.018;2.009
CIV;2.308;2.232;2.147;2.356;2.299;2.424;2.2;2.059;2.18;2.156;2.184;2.08;2.113;2.132;2.16;2.053
CMR;2.114;2.03;2.141;2.027;2.066;1.969;2.042;2.234;2.41;2.435;2.507;2.569;2.643;2.703;2.72;2.66
COD;2.773;2.779;2.799;2.796;2.758;2.776;2.912;3.0;2.898;2.878;3.091;3.081;3.039;3.118;3.109;3.214
COG;2.148;2.083;2.107;2.066;2.058;2.073;2.117;2.152;2.23;2.271;2.304;2.238;2.243;2.269;2.223;2.21
COL;2.659;2.627;2.658;2.598;2.602;2.57;2.601;2.623;2.58;2.646;2.661;2.672;2.663;2.689;2.738;2.693
CRI;1.639;1.643;1.645;1.781;1.719;1.788;1.751;1.693;1.695;1.698;1.74;1.735;1.709;1.718;1.775;1.731
CUB;2.077;2.065;2.056;2.041;2.076;2.073;2.05;2.033;2.02;2.011;1.991;2.018;2.048;2.05;2.112;2.103
CYP;1.725;1.715;1.904;1.898;1.939;1.892;1.946;1.897;1.913;1.906;1.846;1.867;1.885;1.898;1.909;1.904
CZE;1.445;1.473;1.442;1.4;1.446;1.435;1.415;1.383;1.329;1.334;1.339;1.343;1.346;1.334;1.317;1.379
DEU;1.552;1.553;1.57;1.55;1.554;1.498;1.435;1.429;1.44;1.476;1.516;1.5;1.502;1.492;1.453;1.456
DJI;2.013;2.007;2.02;1.998;1.895;1.958;1.93;2.075;2.151;2.112;2.189;2.126;2.168;2.113;2.211;2.196
DNK;1.269;1.274;1.304;1.26;1.236;1.222;1.202;1.229;1.232;1.312;1.31;1.299;1.307;1.293;1.298;1.31
DOM;1.987;1.994;2.071;2.094;2.045;2.059;2.029;2.037;2.038;2.029;2.045;2.023;1.961;1.972;2.022;2.019
DZA;2.253;2.275;2.273;2.415;2.305;2.289;2.212;2.174;2.202;2.171;2.188;2.213;2.186;2.167;2.126;2.094
ECU;2.145;2.166;2.117;2.063;2.035;2.026;1.99;1.966;1.95;1.844;1.907;1.943;2.031;2.012;1.96;2.095
EGY;1.923;1.882;1.902;2.184;2.284;2.378;2.547;2.354;2.379;2.386;2.414;2.381;2.397;2.441;2.335;2.267
ERI;2.445;2.446;2.51;2.438;2.457;2.425;2.452;2.462;2.509;2.545;2.645;2.548;2.582;2.567;2.519;2.505
ESP;1.629;1.693;1.705;1.665;1.574;1.578;1.519;1.49;1.495;1.471;1.606;1.677;1.605;1.627;1.637;1.649
EST;1.693;1.75;1.708;1.664;1.676;1.678;1.576;1.629;1.614;1.597;1.609;1.579;1.568;1.558;1.565;1.563
ETH;2.295;2.343;2.277;2.31;2.421;2.335;2.318;2.233;2.238;2.358;2.428;2.439;2.436;2.56;2.805;2.872
FIN;1.344;1.358;1.373;1.373;1.352;1.353;1.351;1.353;1.373;1.432;1.434;1.393;1.361;1.406;1.439;1.399
FRA;1.726;1.74;1.704;1.682;1.74;1.729;1.709;1.735;1.8;1.909;1.919;1.829;1.94;1.923;1.918;1.939
GAB;1.985;1.954;2.042;2.049;2.014;1.997;1.952;1.989;2.007;2.034;2.079;2.119;2.128;2.037;2.019;2.068
GBR;1.745;1.759;1.74;1.741;1.713;1.715;1.706;1.714;1.712;1.721;1.78;1.711;1.778;1.708;1.699;1.693
GEO;2.708;2.758;2.827;2.525;2.448;2.341;2.18;2.028;2.028;2.055;2.051;1.994;2.022;2.011;2.061;2.071
GHA;1.662;1.76;1.823;1.729;1.732;1.743;1.742;1.711;1.751;1.774;1.78;1.776;1.829;1.794;1.785;1.799
GIN;2.065;2.172;2.15;2.266;2.059;2.146;2.13;2.205;2.114;2.059;2.072;2.029;2.036;2.063;2.4;2.359
GMB;1.883;1.883;1.864;1.927;2.002;2.018;2.047;2.062;2.04;2.178;1.988;1.909;1.931;1.874;1.83;1.888
GNB;2.191;2.136;2.14;2.242;2.192;2.156;2.3;2.066;2.06;2.126;2.15;2.08;2.014;2.037;2.088;2.045
