Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
AFGHANISTAN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;57;89;147;165;167;179;121;86;62;16;50;85;75;NULL
ALBANIA;70;94;34;60;218;398;451;492;537;756;880;1057;1479;1850;2013;1778;1833;1623;1670;1849;1613;1821;2050;2306;2458;1243;2480
ALGERIA;32;45;28;74;80;102;100;111;112;178;477;393;334;473;361;324;300;295;326;316;347;246;171;196;140;50;83
AMERICAN SAMOA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;22;22;NULL;NULL;NULL;NULL
ANDORRA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1910;1351;NULL
ANGOLA;27;38;24;39;31;34;35;51;63;82;103;91;236;293;554;726;653;711;1241;1597;1171;628;884;557;395;19;22.5
ANGUILLA;50;51;60;62;58;56;62;57;64;69;86;107;115;109;94;99;112;113;122;137.1;142;147;153;127;177;51;65
ANTIGUA AND BARBUDA;247;258;278;282;290;291;272;274;300;337;309;327;338;334;305;298;312;319;299;803;802;844;820;855;994;430;572
ARGENTINA;2550;2975;3153;3353;3175;3195;2756;1716;2306;2660;3209;3926;5030;5273;4455;5605;6058;5665;5199;5645;5441;5466;5830;5999;5654;1794;445
ARMENIA;14;18;33;41;47;52;81;81;90;189;243;406;522;564;570;694;762;853;905;994;956;1037;1224;1358;1553;297;813
ARUBA;554;666;726;786;782;850;825;835;858.1;1057;1097;1064.1;1213.4;1352;1223;1254;1358;1412;1506;1625;1659;1757;1855;2035;2109;1079;1788
AUSTRALIA;10370;11882;11735;10169;11408;11594;11333;12148;14981;18032;19719;20408;25024;27189;26909;31064;34315;34137;35159;37996;36249;39059;43990;47327;47953;26235;17132
AUSTRIA;14529;13980;12275;12694;12358;11382;11511;12334;15128;17251;18471;16512;18557;21630;19168;18751;19791;18931;20221;20913;20422;20965;22424;25413;25932;15194;11411
AZERBAIJAN;87;57;176;143;93;68;57;63;70;79;100;201;317;382;545;792;1500;2634;2618;2713;2535;2855;3214;2830;2004.1;340;368
BAHAMAS;1356;1409;1427;1365;1598;1753;1665;1773;1770;1897;2081;2066;2198;2155;2025;2159;2157;2333;2305;2336;2554;3091;2951;3756;4150;972;2334
BAHRAIN;593;589;578;625;785;854;886;985;1206;1504;1603;1786;1854;1927;1873;2163;1766;1752;1875;1913;2827;4021;4380;3834;3860;724;1886
BANGLADESH;25;33;62;52;50;50;48;59;59;76;82;79;76;75;77;103;97;105;131;154;150.3;214.3;348;357;391;217.9;273
BARBADOS;628;665;670;718;734;795;728;695;840;843;905;1068;1198;1203;1076;1041;984;947;988;910;974;1071;1081;1118;1250;577;575
BELARUS;28;61;40;54;92;188;272;295;339;362;346;401;479;585;563;665;747;986;1156;1230;1013;1019;1124.5;1221;1290;546;662
BELGIUM;4548;4844;4529;4623;6472;6592;8304;7598;8848;10089;10881;11625;12369;12020;12718;12680;14114;13704;14534;15249;8975;8784;9636;10319;10516;7227;7336
BELIZE;78;95;97;101;101;111;111;121;150;168;214;260;289;278;256;264;248;298;351;380;372;391;427;479;527;247;374
BENIN;85;79.1;56.2;64.2;94.4;77.4;85.5;94.5;107.9;120.9;107.7;121.6;206.3;236.4;131.4;149.4;201;174;193;153;148;129;160;175;240.86;202.6;NULL
BERMUDA;488;472;478;487;479;431;351;378;348;426;429;495;569;431;366;442;500;448;447;407;370;440;513;583;601;94;145
BHUTAN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;36;47;47;51;64;76;93;116;99;120;139;153;121;120;84;3.8
BOLIVIA, PLURINATIONAL STATE OF;92;100;129;137;124;101;119;143;243;283;345;330;326;302;306;339;499;631;639;746;810;827;928;947.9;977.0;239.9;270
BONAIRE;37;42;44;43;45;59;64;65;84;87;87;91;110;121;107;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BOSNIA AND HERZEGOVINA;NULL;NULL;NULL;257;258;246;279;307;404;507;557;658;804;913;753;662;722;686;752;755;794;875;984;1147;1225;443;1003
BOTSWANA;176;105;141;179;239;227;235;324;459;582;563;540;548.3;510.7;663.6;440.1;468.3;515.6;484.2;529.3;534.3;505;542.01;584.2;712.4;258;294.6
BRAZIL;1085;744;1025;1398;1718;1969;1844;2142;2673;3389;4168;4577;5284;6109;5635;5522;6370;6623;6784;7405;6254;6613;6175;6324;6127;3099;3005
BRITISH VIRGIN ISLANDS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BRUNEI DARUSSALAM;NULL;NULL;NULL;NULL;NULL;NULL;155;113;124;181;191;224;233;242;254;NULL;NULL;92;96;79;147;144;177;190;217;38;30
BULGARIA;662;541;517;1150;1184;1364;1262;1392;2051;2796;3063;3317;4181;4852;4273;3807;4297;3975;4410;4518;3568;4148;4663;5061;4832;1792;2734
BURKINA FASO;NULL;NULL;NULL;NULL;NULL;23;25;37;38;52;46;55;61;82;99;105;116;128;200;183;152;172;172;179;173;128;NULL
BURUNDI;2.4249942444170847;2.141381132740245;1.4400718034345503;1.3;1.2;1.4;0.9;1.6;1.2;1.7999999999999998;1.9;1.6;2.3;1.6;1.7;2.1;3.7;1.5;2.3;4.1;2.2;1.9;3;3.9;NULL;NULL;NULL
CABO VERDE;29;37;50;45;56;64;77;100;135;153;177;280;375;432;349;387;438;452;483;453;380;397;451;520;571;169;144
CAMBODIA;71;117;99;129;240;345;429;509;441;673;929;1109;1169;1280;1463;1671;2258;2663;2895;3220;3419;3523;4024;4832;5312;1119;197
CAMEROON;75;151;119;114;92;132;182;124;266;212;229;231;254;167;271;171;423;377;607;629;476;508;544;633;681;437;507.59999999999997
CANADA;9176;10073;10390;11049;12024;13035;12680;12744;12236;15135;15891;16837;17962;18190;15580;18440;19994;20156;20886;21580;20315;22676;25083;27269;29791;13535;13092
CAYMAN ISLANDS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;708;832;911;964;260;NULL
CENTRAL AFRICAN REPUBLIC;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;7.800000000000001;7.2;10.2;10.8;11.8;7.5;14.4;15;15;28;28;16;22.21;25.3;22.0;21.5;30.9;NULL
CHAD;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CHILE;1186;1209;1401;1431;1243;1179;1184;1221;1309;1571;1608;1853;2224;2481;2380;2362;2723;3185;3192;3221;3428;3762;4136;3937;3316;911;633
CHINA;8730;10200;12626;13229;15006;17318;19006;21742;18707;27755;29296;33949;37233;40843;39675;45814;48464;50028;51664;44044;44969;44432;38559;40386;35832;9951;11328
COLOMBIA;887;1362;1315;1216;1231;1313;1483;1237;1191;1535;1891;2370;2616;2966;3080;3473;3841;4409;4819;4941;5281;5631;5899;6655;6784;1932;2939
COMOROS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;24.4;27.4;30.4;37.4;32.3;35.2;42.2;39.3;NULL;62.8;51.6;50.5;60.6;73.7;72.7;18.7;71.8
CONGO;14.66914;11.0175935;10;9;13.5;12.4;22.6;25.6;30;23.1;40;45;31.4;37;85;39;47;68;52.4;56.9;46.9;42.9;NULL;NULL;34;6;NULL
CONGO, DEMOCRATIC REPUBLIC OF THE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.2;3.1;0.7;0.7;24;10.7;11.4;6.9;8.4;45.4;0.1;4.3;6;60.5;99.7;80.8;107.7
COOK ISLANDS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
COSTA RICA;763;797;860;1038;1256;1629;1480;1429;1573;1755;2008;2066;2454;2811;2216;2426;2646;2773;3171;3137;3408;3776;3758;4073;4339;1450;1707
COTE D´IVOIRE;103;107;103;111;107;53;58;56;76;91;93;104;115;129;164;213;186;172.5;191;195;214;477;509;551;550;199.3;NULL
CROATIA;1349;2014;2523.1;2733.4;2595;2871;3463;3952;6513;6945;7625;8296;9617;11615;9300;8299;9598;8912;9715;10079;8207;9215;10524;11344;11971;5551;10890.9
CUBA;1100;1333;1515;1759;1901;1948;1840;1769;1999;2114;2591;2414;2415;2535;2249;2396;2503;2614;2608;2546;2819;3069;3302;2783;2645;1152;417.0
CURAÇAO;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;329;383;378;438;540;676;778;820;712;644;572;604;706;282;462
CYPRUS;2018.04425;1904.7235;1850.36061;1918.30355;2115;2137;2203;2178;2325;2552;2644;2692.00764;3107;3232;2476;2137;2603;2603;2930;2924;2525.66425;2870;3274;3449;3251;734;2090
CZECH REPUBLIC (CZECHIA);2880;4079;3620;3894;3153;2973;3104;3376;4069;4931;5772;6702;7803;9228;8164;8068;8930;8174;7792;7614;6766;7041;7695;8283;7967;3853;3356
DENMARK;3691;3420;3156;3236;3698;3671;4003;4791;5271;5652;5293;5562;5978;6281;5617;5704;6366;6135;6490;7617;6685;7494;8508;9107;8651;3970;4507
DJIBOUTI;5.4;4.6;4.2;9.3;7.6;8.1;8.6;8.9;6.9;6.8;7.1;9.8;6.8;7.8;16;18;19.2;20.5;21.6;24.7;39.9;38.6;36.2;57;63.1;29.7;38.4
DOMINICA;42;44;48;47;51;48;46;46;52;61;57;72;74;76;77;94;106;76;82;216;202;197;161;88;135;30;19
DOMINICAN REPUBLIC;1571;1781;2099;2153;2483;2860;2798;2730;3128;3152;3518;3917;4064;4166;4049;4162;4391;4687;5055;5630;6116;6720;7184;7548;7472;2675;5687
ECUADOR;315;330;335;330;377;451;438;449;408;464;488;492;626;745;674;786;849;1039;1251;1487;1557;1729;2018;2279;2288;705;1063
EGYPT;2954;3583;4046;2942;4361;4657;4119;4133;4704;6328;7206;8133;10327;12104;11757;13633;9333;10823;6747;7979;6897;3306;8636;12704;14256;4874;9499
EL SALVADOR;152;155;149;206;408;437;452;521;664;748;656;686;793;711;549;646;729;900;1054;1285;1203;1161;1227;1370;1664;755;1225
EQUATORIAL GUINEA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ERITREA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ESTONIA;452;565;597;668;702;657;661;737;883;1111;1229;1361;1416;1643;1090;1065;1256;1286;2022;2278;1893;1911;2124;2326;2304;826;901
ESWATINI;54;42;44;51;15;24;23;45;70.04;75.1;77.3;75.1;32.2;26.3;40.1;51.4;10.1;29.1;4.2;15.6;14.2;13.2;13.2;16.4;14.3;7.3;8.2
ETHIOPIA;177;170;157;152;176;205;218;261;336;458;533;639;790;1184;1119;1434;1998;1980;2236;2107;2279;2138;2505;3548;3529;2282;2601
FIJI;369;374;386;309;365;291;316;384;496;588;722;684;722;952;688;825;955;989;966;1091;1094;1149;1243;1370;1345;237;66
FINLAND;2383;2408;2358;2371;2236;2035;2066;2238;2679;2977;3069;3515;4287;4875;4072;4496;5615;5418;5774;5409;4011;4017;5210;5762;5944;1757;1541
FRANCE;31295;32088;27402;29490;44551;38706;37826;41113;46576;53068;52126;54615;63890;68034;58906;56178;66133;63975;66054;67402;66441;63557;67717;72518;70786;35849;44402
FRENCH GUIANA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
FRENCH POLYNESIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;471;651;737;759;463;537;737;618;630;725;720;746;835;758;782;511;642;NULL;NULL;NULL
GABON;94;91;103;110;143;99;46;77;84;74;13;NULL;26;26.5;26.2;89;25.4;39.5;61.2;43.5;28.7;NULL;NULL;NULL;NULL;NULL;NULL
