Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
AFGHANISTAN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ALBANIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;15000;15600.0;16700.0;18400.0;17500.0;18700.0;22000;22700.0;21400.0;25300.0;26700.0;29000;39200.0;43600.0;46700.0;52000;42400.0;NULL
ALGERIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;230000;270000;300000;308000;320000;NULL;NULL
AMERICAN SAMOA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ANDORRA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ANGOLA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;72149.0;102726.0;134641.0;138867.0;145564.0;157954.0;173478.0;202766.0;219300.0;221000;223000;579000;215500.0;64200.0;50200.0
ANGUILLA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ANTIGUA AND BARBUDA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARGENTINA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;994600.0;989900.0;1002500.0;1061700.0;1013900.0;NULL;1246204.49549261;1273878.51435308;1271157.4679197099;1259620.90563613;NULL;NULL
ARMENIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARUBA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AUSTRALIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;691800.0;667300.0;707300.0;712800.0;750900.0;515100.0;526200.0;547700.0;553300.0;543400.0;575600.0;593100.0;614700.0;651600.0;674200.0;636300.0;506900.0
AUSTRIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;206400.0;206400.0;207700.0;NULL;214600.0;245200.0;243300.0;252900.0;254000;262000;270500.0;NULL;NULL;NULL;NULL;199300.0;205700.0;137700.0;NULL
AZERBAIJAN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4738.0;5117.0;5854.0;6790.0;7330.0;36839.0;37639.0;38851.0;40788.0;41800.0;49449.0;43477.0;46837.0;53574.0;59500.0;48964.0;53700.0
BAHAMAS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BAHRAIN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;18000;19000;21000;23000;20000;64000;73000;76000;68000;70000
BANGLADESH;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BARBADOS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BELARUS;NULL;NULL;NULL;27100.0;28400.0;32900.0;33700.0;33000;32500.0;32600.0;31000;32800.0;34100.0;27500.0;28300.0;29200.0;30100.0;226000;225400.0;226700.0;222200.0;242800.0;242000;255600.0;257800.0;251900.0;247700.0
BELGIUM;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;137950.0;139018.0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BELIZE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;13900.0;15700.0;NULL;NULL;13200.0;13200.0;15500.0;18900.0;19200.0;19616.0;20870.0;22090.0;23023.0;23545.0;17176.0;15700.0
BENIN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BERMUDA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BHUTAN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BOLIVIA, PLURINATIONAL STATE OF;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BONAIRE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BOSNIA AND HERZEGOVINA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;27600.0;26600.0;21800.0;24200.0;24600.0;35900.0;39400.0;41400.0;43100.0;39600.0;38881.0
