Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Afghanistan;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3854235264;4539496563;5220825048;6226198934;6971383338;9715765105;10249770318;12154835707;15633843661;18190413831;20203572959;20564485419;20550582746;19998143635;18019554403;18896353155;18418860354;18904502222;20143451705;14583135236;NULL
Albania;2392764853;3199640825;2258513974;2545964540;3212121651;3480355258;3922100793;4348068242;5611496257;7184685781;8052077209;8896074996;10677324872;12881352878;12044205572;11926926654;12890760272;12319834233;12776224537;13228147516;11386853143;11861199830;13019726211;15156424062;15401826080;15162734205;17930565118;18882095517
Algeria;41764291963;46941553939;48177612042;48187781711;48640671735;54790398813;54744698044;56760355865;67863850334;85332581188;103198211973;117027280692;134977082623;171000699876;137211004291;161207306304;200013097903;209059081828;209755003250;213809980720;165979224316;160034212613;170096989042;174910891124;171760290068;145743722826;163472233245;191912889420
American Samoa;NULL;NULL;NULL;NULL;NULL;NULL;NULL;512000000;524000000;509000000;500000000;493000000;518000000;560000000;675000000;573000000;570000000;640000000;638000000;643000000;673000000;671000000;612000000;639000000;647000000;716000000;709000000;NULL
Andorra;1178745314;1224023415;1180646068;1211953953;1239840269;1429048105;1546912331;1755989899;2361635782;2895047587;3159826891;3456265061;3952397734;4085781938;3674188229;3449925738;3629133574;3188652765;3193512950;3271685596;2789881258;2896610479;3000162081;3218419896;3155149347;2891001149;3325145406;3352032737
Angola;5561222222;7526963964;7648377412;6506229607;6152922943;9129594818;8936079252;15285592487;17812704626;23552057820;36970901025;52381025105;65266415707;88538664888;70307196477;81699526880;109436566876;124998210652;133401582620;137244439121;87219300384;49840491178;68972769395;77792944471;69309110145;50241368243;65685435100;106713618735
Antigua and Barbuda;577281481;633729629;680618518;727859259;766200000;826370370;800481481;814381481;856396296;919729629;1022962963;1157662963;1312759259;1370070370;1228329629;1148700000;1137637037;1199948148;1181448148;1249733333;1336692592;1436585185;1467955555;1604770370;1675403703;1416348148;1560518518;1757603703
Argentina;258031750000;272149750000;292859000000;298948250000;283523000000;284203750000;268696750000;97724004251;127586973492;164657930452;198737095012;232557260817;287530508430;361558037110;332976484577;423627422092;530158176673;545982375701;552025140252;526319673731;594749285413;557532317363;643628396190;524819898586;447754686715;385540406815;487227125385;632770284408
Armenia;1468317435;1596968946;1639492444;1893726437;1845482173;1911563668;2118467913;2376335048;2807061008;3576615240;4900469515;6384452070;9206301264;11662040703;8647937090;9260285762;10142111812;10619320692;11121464429;11609513241;10553337527;10546136240;11527458712;12457940705;13619290545;12641698593;13861409968;19502783987
Aruba;1320670391;1379888268;1531843575;1665363128;1722905027;1873184357;1896648044;1962011173;2044134078;2254748603;2359776536;2469832402;2677653631;2843016759;2553631284;2453631284;2637988826;2615083798;2727932960;2791061452;2963128491;2983798882;3092178770;3276187709;3395793854;2610038938;3126019385;NULL
Australia;368140778140;401310823652;435613768960;399660855999;389389647825;415844972940;379357823192;395573025330;467497961560;614326362213;695305000206;747907432136;854427259166;1055686110665;928629769751;1148569537284;1398456161407;1546952690140;1576329690003;1467589901175;1350580336316;1206562910556;1326467487376;1428266513154;1392218527563;1326944627876;1552703151616;1675418665067
Austria;241038283062;237250948791;212790348404;218259904402;217259147050;197289625479;197508773215;214394866675;262273631180;301457562038;316092273276;336280064332;389185571506;432051935642;401758735822;392275107258;431685217367;409401816050;430190979706;442584815286;381971148530;395837353031;417261151845;454991174096;444621176100;435225238000;480368403893;471400066091
Azerbaijan;2417332562;3176507991;3962362387;4446370371;4581246713;5272617196;5707618246;6236086669;7276413079;8680410157;13245421880;20981929497;33049426816;48851318825;44292408816;52909294791;65952763948;69679913509;74160553008;75239737488;53076244754;37867007022;40866632047;47112479289;48174235294;42693000000;54825411764;78721058823
Bahamas The;3429000000;3609000000;6332360000;6833220000;7683870000;8076470000;8317830000;8881160000;8870090000;9055290000;9836200000;10167250000;10618340000;10526000000;9981960000;10095760000;10070450000;10720500000;10562800000;11176100000;11672900000;11750800000;12253500000;12653600000;13058700000;9754600000;11527600000;12897400000
Bahrain;5849468272;6101861963;6349202984;6183777212;6621010739;9062898936;8976196808;9593510638;11074813829;13150159574;15968723404;18504760638;21730000000;25710904255;22938218085;25713271276;28776595744;30749308510;32539468085;33387712766;31050638297;32234973404;35473776595;37802005319;38653318085;34621807712;39303403989;44390820478
Bangladesh;37939748768;46438484107;48244309133;49984559471;51270569883;53369787318;53991289844;54724081490;60158929188;65108544250;69442943089;71819083683;79611888213;91631278239;102477779060;115279077465;128637983882;133355819704;149990529207;172885432686;195078574089;265236389198;293754769935;321379163135;351238397263;373902196399;416264802185;460201000095
Barbados;2216974096;2363645403;2498384129;2817083478;2951822204;3059500000;3054500000;3106500000;3209500000;3444500000;3819500000;4217450800;4674007450;4784925100;4465657300;4529928300;4657699450;4610096000;4677248300;4696344350;4724691200;4832811750;4981588900;5097283200;5324250000;4671800000;4843800000;5637914514
Belarus;13972676840;14756846153;14128408565;15222012660;12138486532;12736856828;12354820143;14594928109;17825437482;23141593074;30210091836;36961822468;45275747157;60752177438;50873181571;57231904542;61762340943;65685903570;75527537703;78812785767;56454895054;47723549319;54725311690;60031163987;64410112583;61371755326;69673747131;72793457588
Belgium;288025588396;279201433224;252708051420;258528339631;258245733221;236792460312;236746141604;258383599375;318082528506;369214712443;385714762230;408259840868;470922156309;517328087920;483254171097;481420882905;523330354138;496152879924;521791015247;535390200131;462335574841;476062757356;502764720556;543299066998;535865692402;525213067068;594351961634;578604103123
Belize;818500000;851500000;868000000;914000000;975000000;1116000000;1163000000;1233000000;1298000000;1389500000;1461500000;1581000000;1696000000;1729000000;1680500000;1738500000;1819500000;1903000000;2029500000;2138000000;2210500000;2258500000;2286000000;2315000000;2416500000;2080000000;2491500000;2824081836
Benin;2169627138;2361116448;2268301645;2455092688;3677393996;3519991440;3666222633;4194342689;5349258092;6190270377;6567654958;7034111316;8169048374;9787734516;9738626509;9535345011;10693321370;11141358106;12517845127;13284527850;11388160997;11821065852;12701655846;14262408079;14391686309;15651545208;17690083519;17401746309
