Pays;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Afghanistan;3.372;3.603;3.549;3.549;3.593;3.79;3.644;3.862;3.871;3.883;4.129;4.134;4.136;4.177;4.135;4.136
Angola;2.395;2.318;2.266;2.378;2.343;2.434;2.42;2.352;2.384;2.447;2.372;2.347;2.381;2.486;2.439;2.423
Albania;2.236;2.181;2.165;2.148;2.211;2.217;2.271;2.25;2.204;2.226;2.108;2.176;2.142;2.164;2.13;2.078
United Arab Emirates;1.875;1.838;1.823;1.673;1.789;1.682;1.713;1.899;1.828;1.892;1.806;1.796;1.833;1.836;1.854;1.85
Argentina;2.371;2.375;2.404;2.559;2.534;2.525;2.434;2.511;2.619;2.583;2.585;2.745;2.726;2.607;2.651;2.519
Armenia;2.12;2.197;2.282;2.175;2.187;2.207;2.082;2.067;2.034;2.027;2.105;2.045;2.028;1.877;2.004;1.987
Australia;1.521;1.577;1.536;1.549;1.599;1.522;1.459;1.473;1.546;1.601;1.568;1.57;1.533;1.611;1.656;1.606
Austria;1.475;1.533;1.486;1.551;1.492;1.353;1.351;1.329;1.331;1.473;1.388;1.378;1.411;1.534;1.467;1.51
Azerbaijan;2.3;2.449;2.409;2.394;2.471;2.512;2.459;2.391;2.339;2.429;2.367;2.418;2.327;2.382;2.441;2.339
Burundi;2.692;2.665;2.668;2.586;2.579;2.66;2.563;2.648;2.901;3.135;3.114;3.174;2.951;2.839;2.967;2.878
Belgium;1.667;1.7;1.67;1.698;1.732;1.657;1.635;1.728;1.768;1.754;1.739;1.725;1.811;1.807;1.857;1.802
Benin;2.323;2.2;2.235;2.2;2.177;2.231;2.118;2.242;2.312;2.415;2.344;2.34;2.483;2.572;2.598;2.682
Burkina Faso;1.801;2.032;1.886;2.121;2.011;2.317;2.054;2.482;2.561;2.585;2.571;2.61;2.694;2.94;3.026;3.253
Bangladesh;2.315;2.314;2.495;2.542;2.624;2.592;2.499;2.383;2.397;2.385;2.25;2.298;2.324;2.318;2.441;2.435
